pathogenid,direct,direct_sexual,direct_vertical,indirect,fecal_oral,ingestion,inhalation,environment,vector,name
3606500,1,0,0,0,1,1,1,1,0,equine mastadenovirus a
3606501,1,0,0,0,1,1,1,1,0,equine mastadenovirus b
26205544,1,0,0,0,1,1,1,1,0,gorilla beringei beringei adenovirus 7
26205546,1,0,0,0,1,1,1,1,0,gorilla beringei graueri adenovirus 8
26205548,1,0,0,0,1,1,1,1,0,gorilla beringei graueri adenovirus 9
24643281,1,0,0,0,1,1,1,1,0,gorilla gorilla beringei adenovirus 3
24643282,1,0,0,0,1,1,1,1,0,gorilla gorilla beringei adenovirus 4
24643283,1,0,0,0,1,1,1,1,0,gorilla gorilla beringei adenovirus 5
24643284,1,0,0,0,1,1,1,1,0,gorilla gorilla beringei adenovirus 6
24643285,1,0,0,0,1,1,1,1,0,gorilla gorilla gorilla adenovirus 1
24643286,1,0,0,0,1,1,1,1,0,gorilla gorilla gorilla adenovirus 2
3473911,1,0,0,0,1,1,1,1,0,guinea pig adenovirus
1958807,1,0,0,0,1,1,1,1,0,harbour porpoise adenovirus 1
2358482,1,0,0,0,1,1,1,1,0,howler monkey adenovirus 1
3606423,1,0,0,0,1,1,1,1,0,human mastadenovirus a
3578842,1,0,0,0,1,1,1,1,0,human mastadenovirus b
3606497,1,0,0,0,1,1,1,1,0,human mastadenovirus c
3606842,1,0,0,0,1,1,1,1,0,human mastadenovirus d
3606840,1,0,0,0,1,1,1,1,0,human mastadenovirus e
3606841,1,0,0,0,1,1,1,1,0,human mastadenovirus f
3967246,1,0,0,0,1,1,1,1,0,human mastadenovirus g
2023343,1,0,0,0,1,1,1,1,0,lutrine adenovirus type 1
24643287,1,0,0,0,1,1,1,1,0,macaca fascicularis adenovirus 1
24643288,1,0,0,0,1,1,1,1,0,macaca mulatta adenovirus 1
2023342,1,0,0,0,1,1,1,1,0,marten adenovirus type 2
3606502,1,0,0,0,1,1,1,1,0,murine mastadenovirus a
4214424,1,0,0,0,1,1,1,1,0,murine mastadenovirus b
4074885,1,0,0,0,1,1,1,1,0,murine mastadenovirus c
27728883,1,0,0,0,1,1,1,1,0,otarine adenovirus
1204570,1,0,0,0,1,1,1,1,0,otarine adenovirus 2
3839067,1,0,0,0,1,1,1,1,0,ovine adenovirus c
3589338,1,0,0,0,1,1,1,1,0,ovine mastadenovirus a
3839069,1,0,0,0,1,1,1,1,0,ovine mastadenovirus b
3872677,1,0,0,0,1,1,1,1,0,pan troglodytes adenovirus type 3
3872679,1,0,0,0,1,1,1,1,0,pan troglodytes adenovirus type 63
24643289,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 1
24643290,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 10
24643291,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 11
24643292,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 12
24643293,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 13
24643294,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 14
24643295,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 2
24643296,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 6
24643297,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 7
24643298,1,0,0,0,1,1,1,1,0,pan troglodytes schweinfurthii adenovirus 9
24643299,1,0,0,0,1,1,1,1,0,pan troglodytes verus adenovirus 3
24643300,1,0,0,0,1,1,1,1,0,pan troglodytes verus adenovirus 4
24643301,1,0,0,0,1,1,1,1,0,pan troglodytes verus adenovirus 5
24643302,1,0,0,0,1,1,1,1,0,pan troglodytes verus adenovirus 8
24643303,1,0,0,0,1,1,1,1,0,papio hamadryas adenovirus 1
26747509,1,0,0,0,1,1,1,1,0,phocine adenovirus 1
26747511,1,0,0,0,1,1,1,1,0,phocine adenovirus 2
24653183,1,0,0,0,1,1,1,1,0,phocoena adenovirus 1
24643304,1,0,0,0,1,1,1,1,0,piliocolobus badius adenovirus 1
24643305,1,0,0,0,1,1,1,1,0,piliocolobus badius adenovirus 2
24643306,1,0,0,0,1,1,1,1,0,piliocolobus badius adenovirus 3
24581772,1,0,0,0,1,1,1,1,0,platyrrhini mastadenovirus a
2250215,1,0,0,0,1,1,1,1,0,polar bear mastadenovirus 1
3589160,1,0,0,0,1,1,1,1,0,porcine adenovirus
3606899,1,0,0,0,1,1,1,1,0,porcine mastadenovirus a
3606900,1,0,0,0,1,1,1,1,0,porcine mastadenovirus b
3606901,1,0,0,0,1,1,1,1,0,porcine mastadenovirus c
1967296,1,0,0,0,1,1,1,1,0,rousettus aegyptiacus adenovirus
24653182,1,0,0,0,1,1,1,1,0,saguinus adenovirus 1
4220432,1,0,0,0,1,1,1,1,0,sea lion mastadenovirus a
26205464,1,0,0,0,1,1,1,1,0,simian adenovirus 12
26205460,1,0,0,0,1,1,1,1,0,simian adenovirus 15
3457372,1,0,0,0,1,1,1,1,0,simian adenovirus 19
3457374,1,0,0,0,1,1,1,1,0,simian adenovirus 2
26205462,1,0,0,0,1,1,1,1,0,simian adenovirus 5
3860544,1,0,0,0,1,1,1,1,0,simian adenovirus 8
26205398,1,0,0,0,1,1,1,1,0,simian adenovirus b
3756223,1,0,0,0,1,1,1,1,0,simian mastadenovirus a
4251331,1,0,0,0,1,1,1,1,0,simian mastadenovirus b
26205434,1,0,0,0,1,1,1,1,0,simian mastadenovirus c
3457386,1,0,0,0,1,1,1,1,0,simian mastadenovirus d
26205458,1,0,0,0,1,1,1,1,0,simian mastadenovirus e
4197214,1,0,0,0,1,1,1,1,0,simian mastadenovirus f
24322783,1,0,0,0,1,1,1,1,0,simian mastadenovirus g
26205442,1,0,0,0,1,1,1,1,0,simian mastadenovirus h
2170002,1,0,0,0,1,1,1,1,0,simian mastadenovirus i
27372179,1,0,0,0,1,1,1,1,0,skunk mastadenovirus a
2170003,1,0,0,0,1,1,1,1,0,squirrel mastadenovirus a
3709001,1,0,0,0,1,1,1,1,0,tree shrew mastadenovirus a
2562198,1,0,0,0,1,1,1,1,0,weasel adenovirus 1
4016616,1,0,0,0,1,1,1,0,0,budgerigar adenovirus 1
2478624,1,0,0,0,1,1,1,0,0,cockatiel adenovirus 1
27812414,1,0,0,0,1,1,1,0,0,gouldian finch adenovirus 1
4057831,1,0,0,0,1,1,1,0,0,great tit siadenovirus a
2005055,1,0,0,0,1,1,1,0,0,penguin siadenovirus a
3903648,1,0,0,0,1,1,1,0,0,plum headed parakeet adenovirus 1
2499624,1,0,0,0,1,1,1,0,0,psittacine adenovirus 5
4071573,1,0,0,0,1,1,1,0,0,raptor siadenovirus a
24333821,1,0,0,0,1,1,1,0,0,south polar skua adenovirus-2
24333822,1,0,0,0,1,1,1,0,0,south polar skua adenovirus-3
24333823,1,0,0,0,1,1,1,0,0,south polar skua adenovirus-4
24333824,1,0,0,0,1,1,1,0,0,south polar skua adenovirus-5
24333825,1,0,0,0,1,1,1,0,0,south polar skua adenovirus-6
3756222,1,0,0,0,1,1,1,0,0,turkey siadenovirus a
3435001,1,0,0,1,0,1,0,1,1,african swine fever virus
27445706,1,0,0,0,0,0,0,0,0,balaenoptera physalus alphaherpesvirus
26745927,1,0,0,0,0,0,0,0,0,beluga whale alphaherpesvirus 1
3577573,1,0,0,0,0,0,0,0,0,bottlenose dolphin herpesvirus
4054284,1,1,0,0,0,0,0,0,0,delphinid herpesvirus 2
4054285,1,0,0,0,0,0,0,0,0,delphinid herpesvirus 8
27445738,1,0,0,0,0,0,0,0,0,delphinus delphis alphaherpesvirus
4040840,1,0,0,0,0,0,0,0,0,false killer whale alphaherpesvirus
24322581,1,0,0,0,0,0,0,0,0,fregata magnificens herpesvirus
27688973,1,0,0,0,0,0,0,0,0,grampus griseus alphaherpesvirus
27246142,1,0,0,0,0,0,0,0,0,lagenorhynchus alphaherpesvirus 1
27483739,1,0,0,0,0,0,0,0,0,marten alphaherpesvirus
4040841,1,0,0,0,0,0,0,0,0,melon-headed whale alphaherpesvirus
27457902,1,1,0,0,0,0,0,0,0,penguin herpesvirus 2
26745993,1,1,0,0,0,0,0,0,0,phocoena phocoena herpesvirus type 2
26745991,1,0,0,0,0,0,1,0,0,phocoena phocoena herpesvirus type 3
27688975,1,0,0,0,0,0,0,0,0,stenella coeruleoalba alphaherpesvirus 1
27688977,1,1,0,0,0,0,0,0,0,stenella coeruleoalba alphaherpesvirus 2
27368282,1,0,0,0,0,0,0,0,0,sulid herpesvirus 1
3750466,1,0,0,0,0,0,0,0,0,tursiops truncatus alphaherpesvirus 1
3812364,1,1,0,0,0,0,0,0,0,tursiops truncatus alphaherpesvirus 2
3812365,1,0,0,0,0,0,1,0,0,tursiops truncatus alphaherpesvirus 3
3745274,1,0,0,0,0,0,0,0,0,vulture herpesvirus
27688979,1,0,0,0,0,0,0,0,0,ziphius cavirostris alphaherpesvirus 1
27445713,1,1,0,0,0,0,0,0,0,ziphius cavirostris alphaherpesvirus 2
3455201,1,0,1,1,0,0,0,0,0,atypical cytopathic virus
4051168,1,0,1,1,0,0,0,0,0,bat betaherpesvirus 2
27253618,1,0,1,1,0,0,0,0,0,capreolus herpesvirus 1
3449617,1,0,1,1,0,0,0,0,0,caviid betaherpesvirus 2
27271396,1,0,1,1,0,0,0,0,0,eptesicus isabellinus betaherpesvirus 1
27271398,1,0,1,1,0,0,0,0,0,eptesicus isabellinus betaherpesvirus 2
27741051,1,0,1,1,0,0,0,0,0,eptesicus serotinus betaherpesvirus 1
27271400,1,0,1,1,0,0,0,0,0,hypsugo savii betaherpesvirus 1
3619539,1,0,1,1,0,0,0,0,0,mandrillus herpesvirus beta
27708927,1,0,1,1,0,0,0,0,0,marten betaherpesvirus
3863693,1,0,1,1,0,0,0,0,0,miniopterus schreibersii betaherpesvirus 2
27764677,1,0,1,1,0,0,0,0,0,miniopterus schreibersii betaherpesvirus 3
27414256,1,0,1,1,0,0,0,0,0,myotis alcathoe betaherpesvirus 1
27764681,1,0,1,1,0,0,0,0,0,myotis bechsteinii betaherpesvirus 1
27541019,1,0,1,1,0,0,0,0,0,myotis daubentonii betaherpesvirus 1
