"species","fam_links","VirusFamily","association","status","new_links","gen","fam","clade","MSW3_sciName_matched","tip"
"Acerodon celebensis","Acerodon celebensis-orthomyxoviridae","orthomyxoviridae",1,1,"Acerodon celebensis-orthomyxoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-papillomaviridae","papillomaviridae",NA,0,"Acerodon celebensis-papillomaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-paramyxoviridae","paramyxoviridae",NA,0,"Acerodon celebensis-paramyxoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-partitiviridae","partitiviridae",NA,0,"Acerodon celebensis-partitiviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-parvoviridae","parvoviridae",NA,0,"Acerodon celebensis-parvoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-peribunyaviridae","peribunyaviridae",NA,0,"Acerodon celebensis-peribunyaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-phenuiviridae","phenuiviridae",NA,0,"Acerodon celebensis-phenuiviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-picobirnaviridae","picobirnaviridae",NA,0,"Acerodon celebensis-picobirnaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-picornaviridae","picornaviridae",NA,0,"Acerodon celebensis-picornaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-polyomaviridae","polyomaviridae",1,1,"Acerodon celebensis-polyomaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-poxviridae","poxviridae",NA,0,"Acerodon celebensis-poxviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-qinviridae","qinviridae",NA,0,"Acerodon celebensis-qinviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-retroviridae","retroviridae",NA,0,"Acerodon celebensis-retroviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-rhabdoviridae","rhabdoviridae",NA,0,"Acerodon celebensis-rhabdoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-sedoreoviridae","sedoreoviridae",NA,0,"Acerodon celebensis-sedoreoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-smacoviridae","smacoviridae",NA,0,"Acerodon celebensis-smacoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-spinareoviridae","spinareoviridae",1,1,"Acerodon celebensis-spinareoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-togaviridae","togaviridae",NA,0,"Acerodon celebensis-togaviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-totiviridae","totiviridae",NA,0,"Acerodon celebensis-totiviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Acerodon celebensis","Acerodon celebensis-tymoviridae","tymoviridae",NA,0,"Acerodon celebensis-tymoviridae","Acerodon","PTEROPODIDAE","Yinpterochiroptera","Acerodon_celebensis","Acerodon_celebensis"
"Anoura caudifer","Anoura caudifer-adamaviridae","adamaviridae",NA,0,"Anoura caudifer-adamaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-adenoviridae","adenoviridae",1,1,"Anoura caudifer-adenoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-adintoviridae","adintoviridae",NA,0,"Anoura caudifer-adintoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-anelloviridae","anelloviridae",NA,0,"Anoura caudifer-anelloviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-arenaviridae","arenaviridae",NA,0,"Anoura caudifer-arenaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-artoviridae","artoviridae",NA,0,"Anoura caudifer-artoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-astroviridae","astroviridae",1,1,"Anoura caudifer-astroviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-birnaviridae","birnaviridae",NA,0,"Anoura caudifer-birnaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-bornaviridae","bornaviridae",NA,0,"Anoura caudifer-bornaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-botourmiaviridae","botourmiaviridae",NA,0,"Anoura caudifer-botourmiaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-caliciviridae","caliciviridae",NA,0,"Anoura caudifer-caliciviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-chuviridae","chuviridae",NA,0,"Anoura caudifer-chuviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-circoviridae","circoviridae",NA,0,"Anoura caudifer-circoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-coronaviridae","coronaviridae",1,1,"Anoura caudifer-coronaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-filoviridae","filoviridae",NA,0,"Anoura caudifer-filoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-flaviviridae","flaviviridae",NA,0,"Anoura caudifer-flaviviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-geminiviridae","geminiviridae",NA,0,"Anoura caudifer-geminiviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-genomoviridae","genomoviridae",NA,0,"Anoura caudifer-genomoviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-hantaviridae","hantaviridae",NA,0,"Anoura caudifer-hantaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
"Anoura caudifer","Anoura caudifer-hepadnaviridae","hepadnaviridae",NA,0,"Anoura caudifer-hepadnaviridae","Anoura","PHYLLOSTOMIDAE","Yangochiroptera","Anoura_caudifer","Anoura_caudifer"
