"fam_links","Host","VirusFamily"
"Coleura afra-caliciviridae","Coleura afra","caliciviridae"
"Coleura afra-circoviridae","Coleura afra","circoviridae"
"Coleura afra-papillomaviridae","Coleura afra","papillomaviridae"
"Coleura afra-parvoviridae","Coleura afra","parvoviridae"
"Coleura afra-rhabdoviridae","Coleura afra","rhabdoviridae"
"Coleura afra-hepadnaviridae","Coleura afra","hepadnaviridae"
"Coleura afra-flaviviridae","Coleura afra","flaviviridae"
"Coleura kibomalandy-paramyxoviridae","Coleura kibomalandy","paramyxoviridae"
"Corynorhinus townsendii-rhabdoviridae","Corynorhinus townsendii","rhabdoviridae"
"Cynomops abrasus-rhabdoviridae","Cynomops abrasus","rhabdoviridae"
"Cynomops planirostris-paramyxoviridae","Cynomops planirostris","paramyxoviridae"
"Cynopterus brachyotis-paramyxoviridae","Cynopterus brachyotis","paramyxoviridae"
"Cynopterus brachyotis-rhabdoviridae","Cynopterus brachyotis","rhabdoviridae"
"Cynopterus brachyotis-flaviviridae","Cynopterus brachyotis","flaviviridae"
"Cynopterus brachyotis-nairoviridae","Cynopterus brachyotis","nairoviridae"
"Cynopterus sp.-coronaviridae","Cynopterus sp.","coronaviridae"
"Cynopterus sphinx-botourmiaviridae","Cynopterus sphinx","botourmiaviridae"
"Cynopterus sphinx-genomoviridae","Cynopterus sphinx","genomoviridae"
"Cynopterus sphinx-flaviviridae","Cynopterus sphinx","flaviviridae"
"Dermanura phaeotis-togaviridae","Dermanura phaeotis","togaviridae"
"Dermanura phaeotis-flaviviridae","Dermanura phaeotis","flaviviridae"
"Desmodus rotundus-adenoviridae","Desmodus rotundus","adenoviridae"
"Desmodus rotundus-coronaviridae","Desmodus rotundus","coronaviridae"
"Desmodus rotundus-astroviridae","Desmodus rotundus","astroviridae"
"Desmodus rotundus-kolmioviridae","Desmodus rotundus","kolmioviridae"
"Desmodus rotundus-sedoreoviridae","Desmodus rotundus","sedoreoviridae"
"Desmodus rotundus-polyomaviridae","Desmodus rotundus","polyomaviridae"
"Desmodus rotundus-parvoviridae","Desmodus rotundus","parvoviridae"
"Desmodus rotundus-hepeviridae","Desmodus rotundus","hepeviridae"
"Desmodus rotundus-circoviridae","Desmodus rotundus","circoviridae"
"Desmodus rotundus-orthoherpesviridae","Desmodus rotundus","orthoherpesviridae"
"Desmodus rotundus-retroviridae","Desmodus rotundus","retroviridae"
"Desmodus rotundus-flaviviridae","Desmodus rotundus","flaviviridae"
"Desmodus rotundus-paramyxoviridae","Desmodus rotundus","paramyxoviridae"
"Desmodus rotundus-rhabdoviridae","Desmodus rotundus","rhabdoviridae"
"Desmodus rotundus-hantaviridae","Desmodus rotundus","hantaviridae"
"Desmodus rotundus-anelloviridae","Desmodus rotundus","anelloviridae"
"Desmodus rotundus-togaviridae","Desmodus rotundus","togaviridae"
"Diaemus youngi-anelloviridae","Diaemus youngi","anelloviridae"
"Diaemus youngi-paramyxoviridae","Diaemus youngi","paramyxoviridae"
"Diaemus youngi-orthoherpesviridae","Diaemus youngi","orthoherpesviridae"
"Diaemus youngi-genomoviridae","Diaemus youngi","genomoviridae"
"Diaemus youngi-rhabdoviridae","Diaemus youngi","rhabdoviridae"
"Diaemus youngi-smacoviridae","Diaemus youngi","smacoviridae"
"Diclidurus albus-rhabdoviridae","Diclidurus albus","rhabdoviridae"
"Diphylla ecaudata-coronaviridae","Diphylla ecaudata","coronaviridae"
"Diphylla ecaudata-orthoherpesviridae","Diphylla ecaudata","orthoherpesviridae"
"Diphylla ecaudata-rhabdoviridae","Diphylla ecaudata","rhabdoviridae"
"Dobsonia moluccensis-polyomaviridae","Dobsonia moluccensis","polyomaviridae"
"Dobsonia moluccensis-orthoherpesviridae","Dobsonia moluccensis","orthoherpesviridae"
"Doryrhina cyclops-matonaviridae","Doryrhina cyclops","matonaviridae"
"Eidolon dupreanum-picornaviridae","Eidolon dupreanum","picornaviridae"
"Eidolon dupreanum-astroviridae","Eidolon dupreanum","astroviridae"
"Eidolon dupreanum-orthoherpesviridae","Eidolon dupreanum","orthoherpesviridae"
"Eidolon dupreanum-coronaviridae","Eidolon dupreanum","coronaviridae"
"Eidolon dupreanum-caliciviridae","Eidolon dupreanum","caliciviridae"
"Eidolon dupreanum-paramyxoviridae","Eidolon dupreanum","paramyxoviridae"
"Eidolon dupreanum-rhabdoviridae","Eidolon dupreanum","rhabdoviridae"
"Eidolon helvum-polyomaviridae","Eidolon helvum","polyomaviridae"
"Eidolon helvum-parvoviridae","Eidolon helvum","parvoviridae"
"Eidolon helvum-astroviridae","Eidolon helvum","astroviridae"
"Eidolon helvum-circoviridae","Eidolon helvum","circoviridae"
"Eidolon helvum-picornaviridae","Eidolon helvum","picornaviridae"
"Eidolon helvum-papillomaviridae","Eidolon helvum","papillomaviridae"
"Eidolon helvum-sedoreoviridae","Eidolon helvum","sedoreoviridae"
"Eidolon helvum-caliciviridae","Eidolon helvum","caliciviridae"
"Eidolon helvum-retroviridae","Eidolon helvum","retroviridae"
"Eidolon helvum-poxviridae","Eidolon helvum","poxviridae"
"Eidolon helvum-orthoherpesviridae","Eidolon helvum","orthoherpesviridae"
"Eidolon helvum-rhabdoviridae","Eidolon helvum","rhabdoviridae"
"Eidolon helvum-picobirnaviridae","Eidolon helvum","picobirnaviridae"
"Eidolon helvum-filoviridae","Eidolon helvum","filoviridae"
"Eidolon helvum-flaviviridae","Eidolon helvum","flaviviridae"
"Eonycteris spelaea-adenoviridae","Eonycteris spelaea","adenoviridae"
"Eonycteris spelaea-filoviridae","Eonycteris spelaea","filoviridae"
"Eonycteris spelaea-retroviridae","Eonycteris spelaea","retroviridae"
"Eonycteris spelaea-polyomaviridae","Eonycteris spelaea","polyomaviridae"
"Eonycteris spelaea-caliciviridae","Eonycteris spelaea","caliciviridae"
"Eonycteris spelaea-paramyxoviridae","Eonycteris spelaea","paramyxoviridae"
"Eonycteris spelaea-picornaviridae","Eonycteris spelaea","picornaviridae"
"Eonycteris spelaea-flaviviridae","Eonycteris spelaea","flaviviridae"
"Eonycteris spelaea-genomoviridae","Eonycteris spelaea","genomoviridae"
"Eonycteris spelaea-astroviridae","Eonycteris spelaea","astroviridae"
"Eonycteris spelaea-nairoviridae","Eonycteris spelaea","nairoviridae"
"Eonycteris spelaea-spinareoviridae","Eonycteris spelaea","spinareoviridae"
"Eonycteris spelaea-papillomaviridae","Eonycteris spelaea","papillomaviridae"
"Eonycteris spelaea-parvoviridae","Eonycteris spelaea","parvoviridae"
"Eonycteris spelaea-sedoreoviridae","Eonycteris spelaea","sedoreoviridae"
"Epomophorus dobsonii-rhabdoviridae","Epomophorus dobsonii","rhabdoviridae"
"Epomophorus labiatus-peribunyaviridae","Epomophorus labiatus","peribunyaviridae"
"Epomophorus labiatus-flaviviridae","Epomophorus labiatus","flaviviridae"
"Epomophorus pusillus-rhabdoviridae","Epomophorus pusillus","rhabdoviridae"
"Epomophorus pusillus-filoviridae","Epomophorus pusillus","filoviridae"
"Epomophorus pusillus-phenuiviridae","Epomophorus pusillus","phenuiviridae"
"Epomophorus wahlbergi-coronaviridae","Epomophorus wahlbergi","coronaviridae"
"Epomophorus wahlbergi-rhabdoviridae","Epomophorus wahlbergi","rhabdoviridae"
"Epomops franqueti-circoviridae","Epomops franqueti","circoviridae"
"Epomops franqueti-peribunyaviridae","Epomops franqueti","peribunyaviridae"
"Epomops franqueti-filoviridae","Epomops franqueti","filoviridae"
"Epomops franqueti-hepadnaviridae","Epomops franqueti","hepadnaviridae"
"Epomops franqueti-phenuiviridae","Epomops franqueti","phenuiviridae"
"Epomops sp.-coronaviridae","Epomops sp.","coronaviridae"
"Eptesicus fuscus-rhabdoviridae","Eptesicus fuscus","rhabdoviridae"
"Eptesicus fuscus-coronaviridae","Eptesicus fuscus","coronaviridae"
"Eptesicus fuscus-parvoviridae","Eptesicus fuscus","parvoviridae"
"Eptesicus fuscus-retroviridae","Eptesicus fuscus","retroviridae"
"Eptesicus fuscus-orthoherpesviridae","Eptesicus fuscus","orthoherpesviridae"
"Eptesicus fuscus-picornaviridae","Eptesicus fuscus","picornaviridae"
"Eptesicus fuscus-paramyxoviridae","Eptesicus fuscus","paramyxoviridae"
"Eptesicus fuscus-spinareoviridae","Eptesicus fuscus","spinareoviridae"
"Eptesicus fuscus-flaviviridae","Eptesicus fuscus","flaviviridae"
"Eptesicus fuscus-poxviridae","Eptesicus fuscus","poxviridae"
"Eptesicus fuscus-togaviridae","Eptesicus fuscus","togaviridae"
"Eptesicus sp.-coronaviridae","Eptesicus sp.","coronaviridae"
"Eptesicus sp.-rhabdoviridae","Eptesicus sp.","rhabdoviridae"
"Euderma maculatum-rhabdoviridae","Euderma maculatum","rhabdoviridae"
"Eumops auripendulus-rhabdoviridae","Eumops auripendulus","rhabdoviridae"
"Eumops bonariensis-genomoviridae","Eumops bonariensis","genomoviridae"
"Eumops bonariensis-circoviridae","Eumops bonariensis","circoviridae"
"Eumops bonariensis-papillomaviridae","Eumops bonariensis","papillomaviridae"
"Eumops bonariensis-rhabdoviridae","Eumops bonariensis","rhabdoviridae"
"Eumops glaucinus-rhabdoviridae","Eumops glaucinus","rhabdoviridae"
"Eumops patagonicus-rhabdoviridae","Eumops patagonicus","rhabdoviridae"
"Eumops perotis-rhabdoviridae","Eumops perotis","rhabdoviridae"
"Falsistrellus mackenziei-coronaviridae","Falsistrellus mackenziei","coronaviridae"
"Glauconycteris argentata-phenuiviridae","Glauconycteris argentata","phenuiviridae"
"Glauconycteris superba-circoviridae","Glauconycteris superba","circoviridae"
"Glossophaga commissarisi-flaviviridae","Glossophaga commissarisi","flaviviridae"
"Glossophaga leachii-coronaviridae","Glossophaga leachii","coronaviridae"
"Glossophaga morenoi-coronaviridae","Glossophaga morenoi","coronaviridae"
"Glossophaga mutica-togaviridae","Glossophaga mutica","togaviridae"
"Glossophaga mutica-coronaviridae","Glossophaga mutica","coronaviridae"
"Glossophaga mutica-flaviviridae","Glossophaga mutica","flaviviridae"
"Glossophaga soricina-papillomaviridae","Glossophaga soricina","papillomaviridae"
"Glossophaga soricina-orthoherpesviridae","Glossophaga soricina","orthoherpesviridae"
"Glossophaga soricina-paramyxoviridae","Glossophaga soricina","paramyxoviridae"
"Glossophaga soricina-rhabdoviridae","Glossophaga soricina","rhabdoviridae"
"Glossophaga soricina-flaviviridae","Glossophaga soricina","flaviviridae"
"Hipposideros abae-coronaviridae","Hipposideros abae","coronaviridae"
"Hipposideros abae-hepeviridae","Hipposideros abae","hepeviridae"
"Hipposideros abae-phenuiviridae","Hipposideros abae","phenuiviridae"
"Hipposideros aff. ruber-rhabdoviridae","Hipposideros aff. ruber","rhabdoviridae"
"Hipposideros armiger-caliciviridae","Hipposideros armiger","caliciviridae"
"Hipposideros armiger-adenoviridae","Hipposideros armiger","adenoviridae"
"Hipposideros armiger-papillomaviridae","Hipposideros armiger","papillomaviridae"
"Hipposideros armiger-picornaviridae","Hipposideros armiger","picornaviridae"
"Hipposideros armiger-polyomaviridae","Hipposideros armiger","polyomaviridae"
"Hipposideros armiger-rhabdoviridae","Hipposideros armiger","rhabdoviridae"
"Hipposideros armiger-sedoreoviridae","Hipposideros armiger","sedoreoviridae"
"Hipposideros armiger-circoviridae","Hipposideros armiger","circoviridae"
"Hipposideros armiger-parvoviridae","Hipposideros armiger","parvoviridae"
"Hipposideros armiger-genomoviridae","Hipposideros armiger","genomoviridae"
"Hipposideros armiger-hantaviridae","Hipposideros armiger","hantaviridae"
"Hipposideros armiger-flaviviridae","Hipposideros armiger","flaviviridae"
"Hipposideros armiger-partitiviridae","Hipposideros armiger","partitiviridae"
"Hipposideros armiger-picobirnaviridae","Hipposideros armiger","picobirnaviridae"
"Hipposideros armiger-totiviridae","Hipposideros armiger","totiviridae"
"Hipposideros beatus-paramyxoviridae","Hipposideros beatus","paramyxoviridae"
"Hipposideros caffer-togaviridae","Hipposideros caffer","togaviridae"
"Hipposideros caffer-astroviridae","Hipposideros caffer","astroviridae"
"Hipposideros caffer-orthoherpesviridae","Hipposideros caffer","orthoherpesviridae"
"Hipposideros caffer-circoviridae","Hipposideros caffer","circoviridae"
"Hipposideros caffer-hepadnaviridae","Hipposideros caffer","hepadnaviridae"
"Hipposideros caffer-filoviridae","Hipposideros caffer","filoviridae"
"Hipposideros caffer-phenuiviridae","Hipposideros caffer","phenuiviridae"
"Hipposideros cervinus-coronaviridae","Hipposideros cervinus","coronaviridae"
"Hipposideros cf. larvatus-bornaviridae","Hipposideros cf. larvatus","bornaviridae"
"Hipposideros cf. larvatus-coronaviridae","Hipposideros cf. larvatus","coronaviridae"
"Hipposideros cf. ruber-coronaviridae","Hipposideros cf. ruber","coronaviridae"
"Hipposideros cf. ruber-hepadnaviridae","Hipposideros cf. ruber","hepadnaviridae"
"Hipposideros cineraceus-coronaviridae","Hipposideros cineraceus","coronaviridae"
"Hipposideros cineraceus-hantaviridae","Hipposideros cineraceus","hantaviridae"
"Hipposideros diadema-nairoviridae","Hipposideros diadema","nairoviridae"
"Hipposideros fuliginosus-paramyxoviridae","Hipposideros fuliginosus","paramyxoviridae"
"Hipposideros gentilis-hantaviridae","Hipposideros gentilis","hantaviridae"
"Hipposideros jonesi-paramyxoviridae","Hipposideros jonesi","paramyxoviridae"
"Hipposideros lankadiva-orthoherpesviridae","Hipposideros lankadiva","orthoherpesviridae"
"Hipposideros larvatus-hepadnaviridae","Hipposideros larvatus","hepadnaviridae"
"Hipposideros larvatus-papillomaviridae","Hipposideros larvatus","papillomaviridae"
"Hipposideros larvatus-polyomaviridae","Hipposideros larvatus","polyomaviridae"
"Hipposideros larvatus-caliciviridae","Hipposideros larvatus","caliciviridae"
"Hipposideros larvatus-retroviridae","Hipposideros larvatus","retroviridae"
"Hipposideros larvatus-circoviridae","Hipposideros larvatus","circoviridae"
"Hipposideros larvatus-parvoviridae","Hipposideros larvatus","parvoviridae"
"Hipposideros larvatus-genomoviridae","Hipposideros larvatus","genomoviridae"
"Hipposideros larvatus-picornaviridae","Hipposideros larvatus","picornaviridae"
"Hipposideros larvatus-hantaviridae","Hipposideros larvatus","hantaviridae"
"Hipposideros larvatus-partitiviridae","Hipposideros larvatus","partitiviridae"
"Hipposideros larvatus-picobirnaviridae","Hipposideros larvatus","picobirnaviridae"
"Hipposideros larvatus-rhabdoviridae","Hipposideros larvatus","rhabdoviridae"
"Hipposideros larvatus-sedoreoviridae","Hipposideros larvatus","sedoreoviridae"
"Hipposideros larvatus-totiviridae","Hipposideros larvatus","totiviridae"
"Hipposideros pomona-rhabdoviridae","Hipposideros pomona","rhabdoviridae"
"Hipposideros pomona-astroviridae","Hipposideros pomona","astroviridae"
"Hipposideros pomona-circoviridae","Hipposideros pomona","circoviridae"
"Hipposideros pomona-hepadnaviridae","Hipposideros pomona","hepadnaviridae"
"Hipposideros pomona-papillomaviridae","Hipposideros pomona","papillomaviridae"
"Hipposideros pomona-parvoviridae","Hipposideros pomona","parvoviridae"
"Hipposideros pomona-polyomaviridae","Hipposideros pomona","polyomaviridae"
"Hipposideros pomona-hantaviridae","Hipposideros pomona","hantaviridae"
"Hipposideros pomona-genomoviridae","Hipposideros pomona","genomoviridae"
"Hipposideros pomona-flaviviridae","Hipposideros pomona","flaviviridae"
"Hipposideros pomona-paramyxoviridae","Hipposideros pomona","paramyxoviridae"
"Hipposideros pomona-partitiviridae","Hipposideros pomona","partitiviridae"
"Hipposideros pomona-picobirnaviridae","Hipposideros pomona","picobirnaviridae"
"Hipposideros pomona-picornaviridae","Hipposideros pomona","picornaviridae"
"Hipposideros pomona-sedoreoviridae","Hipposideros pomona","sedoreoviridae"
"Hipposideros pomona-caliciviridae","Hipposideros pomona","caliciviridae"
"Hipposideros pomona-totiviridae","Hipposideros pomona","totiviridae"
"Hipposideros pratti-genomoviridae","Hipposideros pratti","genomoviridae"
"Hipposideros pratti-parvoviridae","Hipposideros pratti","parvoviridae"
"Hipposideros pratti-paramyxoviridae","Hipposideros pratti","paramyxoviridae"
"Hipposideros pratti-astroviridae","Hipposideros pratti","astroviridae"
"Hipposideros ruber-hepadnaviridae","Hipposideros ruber","hepadnaviridae"
"Hipposideros ruber-adenoviridae","Hipposideros ruber","adenoviridae"
"Hipposideros ruber-hantaviridae","Hipposideros ruber","hantaviridae"
"Hipposideros ruber-astroviridae","Hipposideros ruber","astroviridae"
"Hipposideros ruber-rhabdoviridae","Hipposideros ruber","rhabdoviridae"
"Hipposideros turpis-astroviridae","Hipposideros turpis","astroviridae"
"Hipposideros turpis-rhabdoviridae","Hipposideros turpis","rhabdoviridae"
"Histiotus laephotis-coronaviridae","Histiotus laephotis","coronaviridae"
"Histiotus macrotus-rhabdoviridae","Histiotus macrotus","rhabdoviridae"
"Histiotus montanus-rhabdoviridae","Histiotus montanus","rhabdoviridae"
"Histiotus sp.-rhabdoviridae","Histiotus sp.","rhabdoviridae"
"Histiotus velatus-rhabdoviridae","Histiotus velatus","rhabdoviridae"
"Hsunycteris thomasi-orthoherpesviridae","Hsunycteris thomasi","orthoherpesviridae"
"Hypsignathus monstrosus-coronaviridae","Hypsignathus monstrosus","coronaviridae"
"Hypsignathus monstrosus-filoviridae","Hypsignathus monstrosus","filoviridae"
"Hypsignathus monstrosus-hepadnaviridae","Hypsignathus monstrosus","hepadnaviridae"
"Hypsugo alaschanicus-coronaviridae","Hypsugo alaschanicus","coronaviridae"
"Hypsugo alaschanicus-partitiviridae","Hypsugo alaschanicus","partitiviridae"
"Hypsugo alaschanicus-phenuiviridae","Hypsugo alaschanicus","phenuiviridae"
"Hypsugo alaschanicus-picornaviridae","Hypsugo alaschanicus","picornaviridae"
"Hypsugo alaschanicus-rhabdoviridae","Hypsugo alaschanicus","rhabdoviridae"
"Hypsugo alaschanicus-totiviridae","Hypsugo alaschanicus","totiviridae"
"Hypsugo pulveratus-coronaviridae","Hypsugo pulveratus","coronaviridae"
"Hypsugo pulveratus-astroviridae","Hypsugo pulveratus","astroviridae"
"Hypsugo savii-adenoviridae","Hypsugo savii","adenoviridae"
"Hypsugo savii-coronaviridae","Hypsugo savii","coronaviridae"
"Hypsugo savii-orthoherpesviridae","Hypsugo savii","orthoherpesviridae"
"Hypsugo savii-rhabdoviridae","Hypsugo savii","rhabdoviridae"
"Hypsugo savii-poxviridae","Hypsugo savii","poxviridae"
"Hypsugo savii-spinareoviridae","Hypsugo savii","spinareoviridae"
"Hypsugo savii-nairoviridae","Hypsugo savii","nairoviridae"
"Ia io-adenoviridae","Ia io","adenoviridae"
"Ia io-papillomaviridae","Ia io","papillomaviridae"
"Ia io-caliciviridae","Ia io","caliciviridae"
"Ia io-genomoviridae","Ia io","genomoviridae"
"Ia io-parvoviridae","Ia io","parvoviridae"
"Ia io-retroviridae","Ia io","retroviridae"
"Ia io-picornaviridae","Ia io","picornaviridae"
"Kerivoula argentata-paramyxoviridae","Kerivoula argentata","paramyxoviridae"
"Kerivoula furva-coronaviridae","Kerivoula furva","coronaviridae"
"Kerivoula hardwickii-circoviridae","Kerivoula hardwickii","circoviridae"
"Kerivoula titania-coronaviridae","Kerivoula titania","coronaviridae"
"Laephotis capensis-coronaviridae","Laephotis capensis","coronaviridae"
"Laephotis capensis-adenoviridae","Laephotis capensis","adenoviridae"
"Laephotis capensis-orthoherpesviridae","Laephotis capensis","orthoherpesviridae"
"Laephotis capensis-hantaviridae","Laephotis capensis","hantaviridae"
"Lasionycteris noctivagans-circoviridae","Lasionycteris noctivagans","circoviridae"
"Lasionycteris noctivagans-rhabdoviridae","Lasionycteris noctivagans","rhabdoviridae"
"Lasionycteris noctivagans-spinareoviridae","Lasionycteris noctivagans","spinareoviridae"
"Lasiurus blossevillii-rhabdoviridae","Lasiurus blossevillii","rhabdoviridae"
"Lasiurus borealis-coronaviridae","Lasiurus borealis","coronaviridae"
"Lasiurus borealis-rhabdoviridae","Lasiurus borealis","rhabdoviridae"
"Lasiurus cinereus-togaviridae","Lasiurus cinereus","togaviridae"
"Lasiurus cinereus-rhabdoviridae","Lasiurus cinereus","rhabdoviridae"
"Lasiurus ega-rhabdoviridae","Lasiurus ega","rhabdoviridae"
"Lasiurus intermedius-rhabdoviridae","Lasiurus intermedius","rhabdoviridae"
"Lasiurus seminolus-rhabdoviridae","Lasiurus seminolus","rhabdoviridae"
"Lasiurus sp. (in: bats)-rhabdoviridae","Lasiurus sp. (in: bats)","rhabdoviridae"
"Lasiurus xanthinus-rhabdoviridae","Lasiurus xanthinus","rhabdoviridae"
"Leptonycteris nivalis-rhabdoviridae","Leptonycteris nivalis","rhabdoviridae"
"Lyroderma lyra-coronaviridae","Lyroderma lyra","coronaviridae"
"Lyroderma lyra-retroviridae","Lyroderma lyra","retroviridae"
"Lyroderma lyra-circoviridae","Lyroderma lyra","circoviridae"
"Lyroderma lyra-astroviridae","Lyroderma lyra","astroviridae"
"Macroglossus minimus-coronaviridae","Macroglossus minimus","coronaviridae"
"Macroglossus minimus-retroviridae","Macroglossus minimus","retroviridae"
"Macroglossus minimus-flaviviridae","Macroglossus minimus","flaviviridae"
"Macroglossus sobrinus-coronaviridae","Macroglossus sobrinus","coronaviridae"
"Macronycteris commersonii-astroviridae","Macronycteris commersonii","astroviridae"
"Macronycteris commersonii-rhabdoviridae","Macronycteris commersonii","rhabdoviridae"
"Macronycteris commersonii-coronaviridae","Macronycteris commersonii","coronaviridae"
"Macronycteris gigas-astroviridae","Macronycteris gigas","astroviridae"
"Macronycteris gigas-hepadnaviridae","Macronycteris gigas","hepadnaviridae"
"Macronycteris gigas-nairoviridae","Macronycteris gigas","nairoviridae"
"Macronycteris gigas-flaviviridae","Macronycteris gigas","flaviviridae"
"Macronycteris vittatus-flaviviridae","Macronycteris vittatus","flaviviridae"
"Macronycteris vittatus-orthoherpesviridae","Macronycteris vittatus","orthoherpesviridae"
"Macrotus californicus-rhabdoviridae","Macrotus californicus","rhabdoviridae"
"Macrotus californicus-paramyxoviridae","Macrotus californicus","paramyxoviridae"
"Macrotus waterhousii-circoviridae","Macrotus waterhousii","circoviridae"
"Megaderma spasma-coronaviridae","Megaderma spasma","coronaviridae"
"Megaerops kusnotoi-coronaviridae","Megaerops kusnotoi","coronaviridae"
"Megaerops kusnotoi-astroviridae","Megaerops kusnotoi","astroviridae"
"Megaloglossus woermanni-hepadnaviridae","Megaloglossus woermanni","hepadnaviridae"
"Megaloglossus woermanni-flaviviridae","Megaloglossus woermanni","flaviviridae"
"Miniopterus africanus-astroviridae","Miniopterus africanus","astroviridae"
"Miniopterus africanus-polyomaviridae","Miniopterus africanus","polyomaviridae"
"Miniopterus fraterculus-astroviridae","Miniopterus fraterculus","astroviridae"
"Miniopterus fuliginosus-coronaviridae","Miniopterus fuliginosus","coronaviridae"
"Miniopterus fuliginosus-astroviridae","Miniopterus fuliginosus","astroviridae"
"Miniopterus fuliginosus-orthoherpesviridae","Miniopterus fuliginosus","orthoherpesviridae"
"Miniopterus fuliginosus-circoviridae","Miniopterus fuliginosus","circoviridae"
"Miniopterus fuliginosus-hepadnaviridae","Miniopterus fuliginosus","hepadnaviridae"
"Miniopterus fuliginosus-parvoviridae","Miniopterus fuliginosus","parvoviridae"
"Miniopterus fuliginosus-polyomaviridae","Miniopterus fuliginosus","polyomaviridae"
"Miniopterus fuliginosus-poxviridae","Miniopterus fuliginosus","poxviridae"
"Miniopterus fuliginosus-caliciviridae","Miniopterus fuliginosus","caliciviridae"
"Miniopterus fuliginosus-genomoviridae","Miniopterus fuliginosus","genomoviridae"
"Miniopterus fuliginosus-paramyxoviridae","Miniopterus fuliginosus","paramyxoviridae"
"Miniopterus fuliginosus-picornaviridae","Miniopterus fuliginosus","picornaviridae"
"Miniopterus fuliginosus-flaviviridae","Miniopterus fuliginosus","flaviviridae"
"Miniopterus fuscus-coronaviridae","Miniopterus fuscus","coronaviridae"
"Miniopterus gleni-astroviridae","Miniopterus gleni","astroviridae"
"Miniopterus gleni-paramyxoviridae","Miniopterus gleni","paramyxoviridae"
"Miniopterus griveaudi-astroviridae","Miniopterus griveaudi","astroviridae"
"Miniopterus griveaudi-paramyxoviridae","Miniopterus griveaudi","paramyxoviridae"
"Miniopterus inflatus-astroviridae","Miniopterus inflatus","astroviridae"
"Miniopterus inflatus-hepadnaviridae","Miniopterus inflatus","hepadnaviridae"
"Miniopterus inflatus-filoviridae","Miniopterus inflatus","filoviridae"
"Miniopterus magnater-picornaviridae","Miniopterus magnater","picornaviridae"
"Miniopterus magnater-rhabdoviridae","Miniopterus magnater","rhabdoviridae"
"Miniopterus mahafaliensis-astroviridae","Miniopterus mahafaliensis","astroviridae"
"Miniopterus mahafaliensis-paramyxoviridae","Miniopterus mahafaliensis","paramyxoviridae"
"Miniopterus manavi-astroviridae","Miniopterus manavi","astroviridae"
"Miniopterus minor-coronaviridae","Miniopterus minor","coronaviridae"
"Miniopterus minor-adenoviridae","Miniopterus minor","adenoviridae"
"Miniopterus minor-paramyxoviridae","Miniopterus minor","paramyxoviridae"
"Miniopterus minor-astroviridae","Miniopterus minor","astroviridae"
"Miniopterus mossambicus-astroviridae","Miniopterus mossambicus","astroviridae"
"Miniopterus mossambicus-coronaviridae","Miniopterus mossambicus","coronaviridae"
"Miniopterus natalensis-coronaviridae","Miniopterus natalensis","coronaviridae"
"Miniopterus natalensis-astroviridae","Miniopterus natalensis","astroviridae"
"Miniopterus natalensis-adenoviridae","Miniopterus natalensis","adenoviridae"
"Miniopterus natalensis-paramyxoviridae","Miniopterus natalensis","paramyxoviridae"
"Miniopterus natalensis-rhabdoviridae","Miniopterus natalensis","rhabdoviridae"
"Miniopterus orianae-astroviridae","Miniopterus orianae","astroviridae"
"Miniopterus pusillus-astroviridae","Miniopterus pusillus","astroviridae"
"Miniopterus pusillus-picornaviridae","Miniopterus pusillus","picornaviridae"
"Miniopterus pusillus-papillomaviridae","Miniopterus pusillus","papillomaviridae"
"Miniopterus pusillus-caliciviridae","Miniopterus pusillus","caliciviridae"
"Miniopterus pusillus-hepeviridae","Miniopterus pusillus","hepeviridae"
"Miniopterus pusillus-chuviridae","Miniopterus pusillus","chuviridae"
"Miniopterus pusillus-circoviridae","Miniopterus pusillus","circoviridae"
"Miniopterus pusillus-genomoviridae","Miniopterus pusillus","genomoviridae"
"Miniopterus pusillus-parvoviridae","Miniopterus pusillus","parvoviridae"
"Miniopterus pusillus-paramyxoviridae","Miniopterus pusillus","paramyxoviridae"
"Miniopterus pusillus-partitiviridae","Miniopterus pusillus","partitiviridae"
"Miniopterus pusillus-rhabdoviridae","Miniopterus pusillus","rhabdoviridae"
"Miniopterus pusillus-totiviridae","Miniopterus pusillus","totiviridae"
"Miniopterus schreibersii-polyomaviridae","Miniopterus schreibersii","polyomaviridae"
"Miniopterus schreibersii-circoviridae","Miniopterus schreibersii","circoviridae"
"Miniopterus schreibersii-parvoviridae","Miniopterus schreibersii","parvoviridae"
"Miniopterus schreibersii-picornaviridae","Miniopterus schreibersii","picornaviridae"
"Miniopterus schreibersii-spinareoviridae","Miniopterus schreibersii","spinareoviridae"
"Miniopterus schreibersii-sedoreoviridae","Miniopterus schreibersii","sedoreoviridae"
"Miniopterus schreibersii-chuviridae","Miniopterus schreibersii","chuviridae"
"Miniopterus schreibersii-filoviridae","Miniopterus schreibersii","filoviridae"
"Miniopterus schreibersii-papillomaviridae","Miniopterus schreibersii","papillomaviridae"
"Miniopterus schreibersii-genomoviridae","Miniopterus schreibersii","genomoviridae"
"Miniopterus schreibersii-paramyxoviridae","Miniopterus schreibersii","paramyxoviridae"
"Miniopterus schreibersii-rhabdoviridae","Miniopterus schreibersii","rhabdoviridae"
"Miniopterus schreibersii-orthoherpesviridae","Miniopterus schreibersii","orthoherpesviridae"
"Miniopterus schreibersii-flaviviridae","Miniopterus schreibersii","flaviviridae"
