"fam_links","Host","VirusFamily"
"Megaloglossus woermanni-adenoviridae","Megaloglossus woermanni","adenoviridae"
"Megaloglossus woermanni-coronaviridae","Megaloglossus woermanni","coronaviridae"
"Mesophylla macconnelli-coronaviridae","Mesophylla macconnelli","coronaviridae"
"Mesophylla macconnelli-hantaviridae","Mesophylla macconnelli","hantaviridae"
"Miniopterus inflatus-coronaviridae","Miniopterus inflatus","coronaviridae"
"Miniopterus inflatus-paramyxoviridae","Miniopterus inflatus","paramyxoviridae"
"Miniopterus inflatus-polyomaviridae","Miniopterus inflatus","polyomaviridae"
"Miniopterus magnater-astroviridae","Miniopterus magnater","astroviridae"
"Miniopterus magnater-coronaviridae","Miniopterus magnater","coronaviridae"
"Miniopterus magnater-paramyxoviridae","Miniopterus magnater","paramyxoviridae"
"Miniopterus pusillus-coronaviridae","Miniopterus pusillus","coronaviridae"
"Miniopterus schreibersii-astroviridae","Miniopterus schreibersii","astroviridae"
"Miniopterus schreibersii-coronaviridae","Miniopterus schreibersii","coronaviridae"
"Mops condylurus-adenoviridae","Mops condylurus","adenoviridae"
"Mops condylurus-filoviridae","Mops condylurus","filoviridae"
"Mops condylurus-coronaviridae","Mops condylurus","coronaviridae"
"Mops condylurus-polyomaviridae","Mops condylurus","polyomaviridae"
"Mops condylurus-paramyxoviridae","Mops condylurus","paramyxoviridae"
"Mops midas-paramyxoviridae","Mops midas","paramyxoviridae"
"Mops plicatus-paramyxoviridae","Mops plicatus","paramyxoviridae"
"Mops pumilus-adenoviridae","Mops pumilus","adenoviridae"
"Mops pumilus-filoviridae","Mops pumilus","filoviridae"
"Mops pumilus-coronaviridae","Mops pumilus","coronaviridae"
"Mops pumilus-paramyxoviridae","Mops pumilus","paramyxoviridae"
"Murina cyclotis-paramyxoviridae","Murina cyclotis","paramyxoviridae"
"Myotis albescens-hantaviridae","Myotis albescens","hantaviridae"
"Myotis altarium-paramyxoviridae","Myotis altarium","paramyxoviridae"
"Myotis californicus-adenoviridae","Myotis californicus","adenoviridae"
"Myotis californicus-coronaviridae","Myotis californicus","coronaviridae"
"Myotis daubentonii-coronaviridae","Myotis daubentonii","coronaviridae"
"Myotis fimbriatus-coronaviridae","Myotis fimbriatus","coronaviridae"
"Myotis horsfieldii-astroviridae","Myotis horsfieldii","astroviridae"
"Myotis horsfieldii-paramyxoviridae","Myotis horsfieldii","paramyxoviridae"
"Myotis horsfieldii-coronaviridae","Myotis horsfieldii","coronaviridae"
"Myotis keaysi-paramyxoviridae","Myotis keaysi","paramyxoviridae"
"Myotis laniger-coronaviridae","Myotis laniger","coronaviridae"
"Myotis longipes-coronaviridae","Myotis longipes","coronaviridae"
"Myotis longipes-paramyxoviridae","Myotis longipes","paramyxoviridae"
"Myotis muricola-paramyxoviridae","Myotis muricola","paramyxoviridae"
"Myotis myotis-coronaviridae","Myotis myotis","coronaviridae"
"Myotis oxyotus-paramyxoviridae","Myotis oxyotus","paramyxoviridae"
"Myotis pilosus-astroviridae","Myotis pilosus","astroviridae"
"Myotis pilosus-coronaviridae","Myotis pilosus","coronaviridae"
"Myotis pilosus-paramyxoviridae","Myotis pilosus","paramyxoviridae"
"Myotis siligorensis-coronaviridae","Myotis siligorensis","coronaviridae"
"Myotis velifer-coronaviridae","Myotis velifer","coronaviridae"
"Myotis welwitschii-coronaviridae","Myotis welwitschii","coronaviridae"
"Nyctalus plancyi-coronaviridae","Nyctalus plancyi","coronaviridae"
"Nycteris hispida-adenoviridae","Nycteris hispida","adenoviridae"
"Nycteris thebaica-paramyxoviridae","Nycteris thebaica","paramyxoviridae"
"Nyctinomops laticaudatus-coronaviridae","Nyctinomops laticaudatus","coronaviridae"
"Otomops martiensseni-coronaviridae","Otomops martiensseni","coronaviridae"
"Phyllostomus hastatus-paramyxoviridae","Phyllostomus hastatus","paramyxoviridae"
"Pipistrellus coromandra-coronaviridae","Pipistrellus coromandra","coronaviridae"
"Pipistrellus hesperidus-coronaviridae","Pipistrellus hesperidus","coronaviridae"
"Pipistrellus kuhlii-orthomyxoviridae","Pipistrellus kuhlii","orthomyxoviridae"
"Pipistrellus kuhlii-paramyxoviridae","Pipistrellus kuhlii","paramyxoviridae"
"Pipistrellus pipistrellus-coronaviridae","Pipistrellus pipistrellus","coronaviridae"
"Pipistrellus pipistrellus-paramyxoviridae","Pipistrellus pipistrellus","paramyxoviridae"
"Plecotus auritus-paramyxoviridae","Plecotus auritus","paramyxoviridae"
"Pseudoromicia tenuipinnis-adenoviridae","Pseudoromicia tenuipinnis","adenoviridae"
"Pteronotus davyi-adenoviridae","Pteronotus davyi","adenoviridae"
"Pteronotus parnellii-coronaviridae","Pteronotus parnellii","coronaviridae"
"Pteronotus parnellii-hantaviridae","Pteronotus parnellii","hantaviridae"
"Pteronotus personatus-coronaviridae","Pteronotus personatus","coronaviridae"
"Pteropus alecto-coronaviridae","Pteropus alecto","coronaviridae"
"Pteropus alecto-orthomyxoviridae","Pteropus alecto","orthomyxoviridae"
"Pteropus alecto-paramyxoviridae","Pteropus alecto","paramyxoviridae"
"Pteropus lylei-paramyxoviridae","Pteropus lylei","paramyxoviridae"
"Pteropus vampyrus-coronaviridae","Pteropus vampyrus","coronaviridae"
"Pteropus vampyrus-astroviridae","Pteropus vampyrus","astroviridae"
"Pteropus vampyrus-adenoviridae","Pteropus vampyrus","adenoviridae"
"Pteropus vampyrus-paramyxoviridae","Pteropus vampyrus","paramyxoviridae"
"Pteropus vampyrus-polyomaviridae","Pteropus vampyrus","polyomaviridae"
"Pteropus vampyrus-parvoviridae","Pteropus vampyrus","parvoviridae"
"Rhinolophus affinis-coronaviridae","Rhinolophus affinis","coronaviridae"
"Rhinolophus affinis-paramyxoviridae","Rhinolophus affinis","paramyxoviridae"
"Rhinolophus alcyone-adenoviridae","Rhinolophus alcyone","adenoviridae"
"Rhinolophus arcuatus-paramyxoviridae","Rhinolophus arcuatus","paramyxoviridae"
"Rhinolophus clivosus-coronaviridae","Rhinolophus clivosus","coronaviridae"
"Rhinolophus clivosus-paramyxoviridae","Rhinolophus clivosus","paramyxoviridae"
"Rhinolophus coelophyllus-astroviridae","Rhinolophus coelophyllus","astroviridae"
"Rhinolophus coelophyllus-coronaviridae","Rhinolophus coelophyllus","coronaviridae"
"Rhinolophus coelophyllus-paramyxoviridae","Rhinolophus coelophyllus","paramyxoviridae"
"Rhinolophus creaghi-coronaviridae","Rhinolophus creaghi","coronaviridae"
"Rhinolophus creaghi-paramyxoviridae","Rhinolophus creaghi","paramyxoviridae"
"Rhinolophus euryale-coronaviridae","Rhinolophus euryale","coronaviridae"
"Rhinolophus ferrumequinum-coronaviridae","Rhinolophus ferrumequinum","coronaviridae"
"Rhinolophus fumigatus-adenoviridae","Rhinolophus fumigatus","adenoviridae"
"Rhinolophus landeri-adenoviridae","Rhinolophus landeri","adenoviridae"
"Rhinolophus lepidus-paramyxoviridae","Rhinolophus lepidus","paramyxoviridae"
"Rhinolophus mehelyi-coronaviridae","Rhinolophus mehelyi","coronaviridae"
"Rhinolophus pearsonii-paramyxoviridae","Rhinolophus pearsonii","paramyxoviridae"
"Rhinolophus pusillus-paramyxoviridae","Rhinolophus pusillus","paramyxoviridae"
"Rhinolophus pusillus-coronaviridae","Rhinolophus pusillus","coronaviridae"
"Rhinolophus rex-coronaviridae","Rhinolophus rex","coronaviridae"
"Rhinolophus shameli-coronaviridae","Rhinolophus shameli","coronaviridae"
"Rhinolophus sinicus-coronaviridae","Rhinolophus sinicus","coronaviridae"
"Rhinolophus sinicus-paramyxoviridae","Rhinolophus sinicus","paramyxoviridae"
"Rhinolophus thomasi-coronaviridae","Rhinolophus thomasi","coronaviridae"
"Rhinolophus trifoliatus-paramyxoviridae","Rhinolophus trifoliatus","paramyxoviridae"
"Rhinophylla pumilio-adenoviridae","Rhinophylla pumilio","adenoviridae"
"Rhinopoma hardwickii-coronaviridae","Rhinopoma hardwickii","coronaviridae"
"Rhinopoma hardwickii-paramyxoviridae","Rhinopoma hardwickii","paramyxoviridae"
"Rousettus aegyptiacus-adenoviridae","Rousettus aegyptiacus","adenoviridae"
"Rousettus aegyptiacus-coronaviridae","Rousettus aegyptiacus","coronaviridae"
"Rousettus aegyptiacus-paramyxoviridae","Rousettus aegyptiacus","paramyxoviridae"
"Rousettus aegyptiacus-orthomyxoviridae","Rousettus aegyptiacus","orthomyxoviridae"
"Rousettus aegyptiacus-filoviridae","Rousettus aegyptiacus","filoviridae"
