"","fam_links","Host","VirusFamily","association","status"
"2238","Diclidurus albus-papillomaviridae","Diclidurus albus","papillomaviridae",NA,0
"2239","Diclidurus albus-paramyxoviridae","Diclidurus albus","paramyxoviridae",NA,0
"2240","Diclidurus albus-partitiviridae","Diclidurus albus","partitiviridae",NA,0
"2241","Diclidurus albus-parvoviridae","Diclidurus albus","parvoviridae",NA,0
"2242","Diclidurus albus-peribunyaviridae","Diclidurus albus","peribunyaviridae",NA,0
"2243","Diclidurus albus-phenuiviridae","Diclidurus albus","phenuiviridae",NA,0
"2244","Diclidurus albus-picobirnaviridae","Diclidurus albus","picobirnaviridae",NA,0
"2245","Diclidurus albus-picornaviridae","Diclidurus albus","picornaviridae",NA,0
"2246","Diclidurus albus-polyomaviridae","Diclidurus albus","polyomaviridae",NA,0
"2247","Diclidurus albus-poxviridae","Diclidurus albus","poxviridae",NA,0
"2248","Diclidurus albus-qinviridae","Diclidurus albus","qinviridae",NA,0
"2249","Diclidurus albus-retroviridae","Diclidurus albus","retroviridae",NA,0
"2250","Diclidurus albus-rhabdoviridae","Diclidurus albus","rhabdoviridae",1,1
"2251","Diclidurus albus-sedoreoviridae","Diclidurus albus","sedoreoviridae",NA,0
"2252","Diclidurus albus-smacoviridae","Diclidurus albus","smacoviridae",NA,0
"2253","Diclidurus albus-spinareoviridae","Diclidurus albus","spinareoviridae",NA,0
"2254","Diclidurus albus-togaviridae","Diclidurus albus","togaviridae",NA,0
"2255","Diclidurus albus-totiviridae","Diclidurus albus","totiviridae",NA,0
"2256","Diclidurus albus-tymoviridae","Diclidurus albus","tymoviridae",NA,0
"2257","Diphylla ecaudata-adamaviridae","Diphylla ecaudata","adamaviridae",NA,0
"2258","Diphylla ecaudata-adenoviridae","Diphylla ecaudata","adenoviridae",NA,0
"2259","Diphylla ecaudata-adintoviridae","Diphylla ecaudata","adintoviridae",NA,0
"2260","Diphylla ecaudata-anelloviridae","Diphylla ecaudata","anelloviridae",NA,0
"2261","Diphylla ecaudata-arenaviridae","Diphylla ecaudata","arenaviridae",NA,0
"2262","Diphylla ecaudata-artoviridae","Diphylla ecaudata","artoviridae",NA,0
"2263","Diphylla ecaudata-astroviridae","Diphylla ecaudata","astroviridae",NA,0
"2264","Diphylla ecaudata-birnaviridae","Diphylla ecaudata","birnaviridae",NA,0
"2265","Diphylla ecaudata-bornaviridae","Diphylla ecaudata","bornaviridae",NA,0
"2266","Diphylla ecaudata-botourmiaviridae","Diphylla ecaudata","botourmiaviridae",NA,0
"2267","Diphylla ecaudata-caliciviridae","Diphylla ecaudata","caliciviridae",NA,0
"2268","Diphylla ecaudata-chuviridae","Diphylla ecaudata","chuviridae",NA,0
"2269","Diphylla ecaudata-circoviridae","Diphylla ecaudata","circoviridae",NA,0
"2270","Diphylla ecaudata-coronaviridae","Diphylla ecaudata","coronaviridae",1,1
"2271","Diphylla ecaudata-filoviridae","Diphylla ecaudata","filoviridae",NA,0
"2272","Diphylla ecaudata-flaviviridae","Diphylla ecaudata","flaviviridae",NA,0
"2273","Diphylla ecaudata-geminiviridae","Diphylla ecaudata","geminiviridae",NA,0
"2274","Diphylla ecaudata-genomoviridae","Diphylla ecaudata","genomoviridae",NA,0
"2275","Diphylla ecaudata-hantaviridae","Diphylla ecaudata","hantaviridae",NA,0
"2276","Diphylla ecaudata-hepadnaviridae","Diphylla ecaudata","hepadnaviridae",NA,0
"2277","Diphylla ecaudata-hepeviridae","Diphylla ecaudata","hepeviridae",NA,0
"2278","Diphylla ecaudata-kolmioviridae","Diphylla ecaudata","kolmioviridae",NA,0
"2279","Diphylla ecaudata-mahapunaviridae","Diphylla ecaudata","mahapunaviridae",NA,0
"2280","Diphylla ecaudata-matonaviridae","Diphylla ecaudata","matonaviridae",NA,0
"2281","Diphylla ecaudata-nairoviridae","Diphylla ecaudata","nairoviridae",NA,0
"2282","Diphylla ecaudata-nodaviridae","Diphylla ecaudata","nodaviridae",NA,0
"2283","Diphylla ecaudata-nyamiviridae","Diphylla ecaudata","nyamiviridae",NA,0
"2284","Diphylla ecaudata-orthoherpesviridae","Diphylla ecaudata","orthoherpesviridae",1,1
"2285","Diphylla ecaudata-orthomyxoviridae","Diphylla ecaudata","orthomyxoviridae",NA,0
"2286","Diphylla ecaudata-papillomaviridae","Diphylla ecaudata","papillomaviridae",NA,0
"2287","Diphylla ecaudata-paramyxoviridae","Diphylla ecaudata","paramyxoviridae",NA,0
"2288","Diphylla ecaudata-partitiviridae","Diphylla ecaudata","partitiviridae",NA,0
"2289","Diphylla ecaudata-parvoviridae","Diphylla ecaudata","parvoviridae",NA,0
"2290","Diphylla ecaudata-peribunyaviridae","Diphylla ecaudata","peribunyaviridae",NA,0
"2291","Diphylla ecaudata-phenuiviridae","Diphylla ecaudata","phenuiviridae",NA,0
"2292","Diphylla ecaudata-picobirnaviridae","Diphylla ecaudata","picobirnaviridae",NA,0
"2293","Diphylla ecaudata-picornaviridae","Diphylla ecaudata","picornaviridae",NA,0
"2294","Diphylla ecaudata-polyomaviridae","Diphylla ecaudata","polyomaviridae",NA,0
"2295","Diphylla ecaudata-poxviridae","Diphylla ecaudata","poxviridae",NA,0
"2296","Diphylla ecaudata-qinviridae","Diphylla ecaudata","qinviridae",NA,0
"2297","Diphylla ecaudata-retroviridae","Diphylla ecaudata","retroviridae",NA,0
"2298","Diphylla ecaudata-rhabdoviridae","Diphylla ecaudata","rhabdoviridae",1,1
"2299","Diphylla ecaudata-sedoreoviridae","Diphylla ecaudata","sedoreoviridae",NA,0
"2300","Diphylla ecaudata-smacoviridae","Diphylla ecaudata","smacoviridae",NA,0
"2301","Diphylla ecaudata-spinareoviridae","Diphylla ecaudata","spinareoviridae",NA,0
"2302","Diphylla ecaudata-togaviridae","Diphylla ecaudata","togaviridae",NA,0
"2303","Diphylla ecaudata-totiviridae","Diphylla ecaudata","totiviridae",NA,0
"2304","Diphylla ecaudata-tymoviridae","Diphylla ecaudata","tymoviridae",NA,0
"2305","Dobsonia moluccensis-adamaviridae","Dobsonia moluccensis","adamaviridae",NA,0
"2306","Dobsonia moluccensis-adenoviridae","Dobsonia moluccensis","adenoviridae",NA,0
"2307","Dobsonia moluccensis-adintoviridae","Dobsonia moluccensis","adintoviridae",NA,0
"2308","Dobsonia moluccensis-anelloviridae","Dobsonia moluccensis","anelloviridae",NA,0
"2309","Dobsonia moluccensis-arenaviridae","Dobsonia moluccensis","arenaviridae",NA,0
"2310","Dobsonia moluccensis-artoviridae","Dobsonia moluccensis","artoviridae",NA,0
"2311","Dobsonia moluccensis-astroviridae","Dobsonia moluccensis","astroviridae",NA,0
"2312","Dobsonia moluccensis-birnaviridae","Dobsonia moluccensis","birnaviridae",NA,0
"2313","Dobsonia moluccensis-bornaviridae","Dobsonia moluccensis","bornaviridae",NA,0
"2314","Dobsonia moluccensis-botourmiaviridae","Dobsonia moluccensis","botourmiaviridae",NA,0
"2315","Dobsonia moluccensis-caliciviridae","Dobsonia moluccensis","caliciviridae",NA,0
"2316","Dobsonia moluccensis-chuviridae","Dobsonia moluccensis","chuviridae",NA,0
"2317","Dobsonia moluccensis-circoviridae","Dobsonia moluccensis","circoviridae",NA,0
"2318","Dobsonia moluccensis-coronaviridae","Dobsonia moluccensis","coronaviridae",NA,0
"2319","Dobsonia moluccensis-filoviridae","Dobsonia moluccensis","filoviridae",NA,0
"2320","Dobsonia moluccensis-flaviviridae","Dobsonia moluccensis","flaviviridae",NA,0
"2321","Dobsonia moluccensis-geminiviridae","Dobsonia moluccensis","geminiviridae",NA,0
"2322","Dobsonia moluccensis-genomoviridae","Dobsonia moluccensis","genomoviridae",NA,0
"2323","Dobsonia moluccensis-hantaviridae","Dobsonia moluccensis","hantaviridae",NA,0
"2324","Dobsonia moluccensis-hepadnaviridae","Dobsonia moluccensis","hepadnaviridae",NA,0
"2325","Dobsonia moluccensis-hepeviridae","Dobsonia moluccensis","hepeviridae",NA,0
"2326","Dobsonia moluccensis-kolmioviridae","Dobsonia moluccensis","kolmioviridae",NA,0
"2327","Dobsonia moluccensis-mahapunaviridae","Dobsonia moluccensis","mahapunaviridae",NA,0
"2328","Dobsonia moluccensis-matonaviridae","Dobsonia moluccensis","matonaviridae",NA,0
"2329","Dobsonia moluccensis-nairoviridae","Dobsonia moluccensis","nairoviridae",NA,0
"2330","Dobsonia moluccensis-nodaviridae","Dobsonia moluccensis","nodaviridae",NA,0
"2331","Dobsonia moluccensis-nyamiviridae","Dobsonia moluccensis","nyamiviridae",NA,0
"2332","Dobsonia moluccensis-orthoherpesviridae","Dobsonia moluccensis","orthoherpesviridae",1,1
"2333","Dobsonia moluccensis-orthomyxoviridae","Dobsonia moluccensis","orthomyxoviridae",NA,0
"2334","Dobsonia moluccensis-papillomaviridae","Dobsonia moluccensis","papillomaviridae",NA,0
"2335","Dobsonia moluccensis-paramyxoviridae","Dobsonia moluccensis","paramyxoviridae",NA,0
"2336","Dobsonia moluccensis-partitiviridae","Dobsonia moluccensis","partitiviridae",NA,0
"2337","Dobsonia moluccensis-parvoviridae","Dobsonia moluccensis","parvoviridae",NA,0
"2338","Dobsonia moluccensis-peribunyaviridae","Dobsonia moluccensis","peribunyaviridae",NA,0
"2339","Dobsonia moluccensis-phenuiviridae","Dobsonia moluccensis","phenuiviridae",NA,0
"2340","Dobsonia moluccensis-picobirnaviridae","Dobsonia moluccensis","picobirnaviridae",NA,0
"2341","Dobsonia moluccensis-picornaviridae","Dobsonia moluccensis","picornaviridae",NA,0
"2342","Dobsonia moluccensis-polyomaviridae","Dobsonia moluccensis","polyomaviridae",1,1
"2343","Dobsonia moluccensis-poxviridae","Dobsonia moluccensis","poxviridae",NA,0
"2344","Dobsonia moluccensis-qinviridae","Dobsonia moluccensis","qinviridae",NA,0
"2345","Dobsonia moluccensis-retroviridae","Dobsonia moluccensis","retroviridae",NA,0
"2346","Dobsonia moluccensis-rhabdoviridae","Dobsonia moluccensis","rhabdoviridae",NA,0
"2347","Dobsonia moluccensis-sedoreoviridae","Dobsonia moluccensis","sedoreoviridae",NA,0
"2348","Dobsonia moluccensis-smacoviridae","Dobsonia moluccensis","smacoviridae",NA,0
"2349","Dobsonia moluccensis-spinareoviridae","Dobsonia moluccensis","spinareoviridae",NA,0
"2350","Dobsonia moluccensis-togaviridae","Dobsonia moluccensis","togaviridae",NA,0
"2351","Dobsonia moluccensis-totiviridae","Dobsonia moluccensis","totiviridae",NA,0
"2352","Dobsonia moluccensis-tymoviridae","Dobsonia moluccensis","tymoviridae",NA,0
"2353","Doryrhina cyclops-adamaviridae","Doryrhina cyclops","adamaviridae",NA,0
"2354","Doryrhina cyclops-adenoviridae","Doryrhina cyclops","adenoviridae",1,1
"2355","Doryrhina cyclops-adintoviridae","Doryrhina cyclops","adintoviridae",NA,0
"2356","Doryrhina cyclops-anelloviridae","Doryrhina cyclops","anelloviridae",NA,0
"2357","Doryrhina cyclops-arenaviridae","Doryrhina cyclops","arenaviridae",NA,0
"2358","Doryrhina cyclops-artoviridae","Doryrhina cyclops","artoviridae",NA,0
"2359","Doryrhina cyclops-astroviridae","Doryrhina cyclops","astroviridae",NA,0
"2360","Doryrhina cyclops-birnaviridae","Doryrhina cyclops","birnaviridae",NA,0
"2361","Doryrhina cyclops-bornaviridae","Doryrhina cyclops","bornaviridae",NA,0
"2362","Doryrhina cyclops-botourmiaviridae","Doryrhina cyclops","botourmiaviridae",NA,0
"2363","Doryrhina cyclops-caliciviridae","Doryrhina cyclops","caliciviridae",NA,0
"2364","Doryrhina cyclops-chuviridae","Doryrhina cyclops","chuviridae",NA,0
"2365","Doryrhina cyclops-circoviridae","Doryrhina cyclops","circoviridae",NA,0
"2366","Doryrhina cyclops-coronaviridae","Doryrhina cyclops","coronaviridae",NA,0
"2367","Doryrhina cyclops-filoviridae","Doryrhina cyclops","filoviridae",NA,0
"2368","Doryrhina cyclops-flaviviridae","Doryrhina cyclops","flaviviridae",NA,0
"2369","Doryrhina cyclops-geminiviridae","Doryrhina cyclops","geminiviridae",NA,0
"2370","Doryrhina cyclops-genomoviridae","Doryrhina cyclops","genomoviridae",NA,0
"2371","Doryrhina cyclops-hantaviridae","Doryrhina cyclops","hantaviridae",NA,0
"2372","Doryrhina cyclops-hepadnaviridae","Doryrhina cyclops","hepadnaviridae",NA,0
"2373","Doryrhina cyclops-hepeviridae","Doryrhina cyclops","hepeviridae",NA,0
"2374","Doryrhina cyclops-kolmioviridae","Doryrhina cyclops","kolmioviridae",NA,0
"2375","Doryrhina cyclops-mahapunaviridae","Doryrhina cyclops","mahapunaviridae",NA,0
"2376","Doryrhina cyclops-matonaviridae","Doryrhina cyclops","matonaviridae",1,1
"2377","Doryrhina cyclops-nairoviridae","Doryrhina cyclops","nairoviridae",NA,0
"2378","Doryrhina cyclops-nodaviridae","Doryrhina cyclops","nodaviridae",NA,0
"2379","Doryrhina cyclops-nyamiviridae","Doryrhina cyclops","nyamiviridae",NA,0
"2380","Doryrhina cyclops-orthoherpesviridae","Doryrhina cyclops","orthoherpesviridae",NA,0
"2381","Doryrhina cyclops-orthomyxoviridae","Doryrhina cyclops","orthomyxoviridae",NA,0
"2382","Doryrhina cyclops-papillomaviridae","Doryrhina cyclops","papillomaviridae",NA,0
"2383","Doryrhina cyclops-paramyxoviridae","Doryrhina cyclops","paramyxoviridae",NA,0
"2384","Doryrhina cyclops-partitiviridae","Doryrhina cyclops","partitiviridae",NA,0
"2385","Doryrhina cyclops-parvoviridae","Doryrhina cyclops","parvoviridae",NA,0
"2386","Doryrhina cyclops-peribunyaviridae","Doryrhina cyclops","peribunyaviridae",NA,0
"2387","Doryrhina cyclops-phenuiviridae","Doryrhina cyclops","phenuiviridae",NA,0
"2388","Doryrhina cyclops-picobirnaviridae","Doryrhina cyclops","picobirnaviridae",NA,0
"2389","Doryrhina cyclops-picornaviridae","Doryrhina cyclops","picornaviridae",NA,0
"2390","Doryrhina cyclops-polyomaviridae","Doryrhina cyclops","polyomaviridae",NA,0
"2391","Doryrhina cyclops-poxviridae","Doryrhina cyclops","poxviridae",NA,0
"2392","Doryrhina cyclops-qinviridae","Doryrhina cyclops","qinviridae",NA,0
"2393","Doryrhina cyclops-retroviridae","Doryrhina cyclops","retroviridae",NA,0
"2394","Doryrhina cyclops-rhabdoviridae","Doryrhina cyclops","rhabdoviridae",NA,0
"2395","Doryrhina cyclops-sedoreoviridae","Doryrhina cyclops","sedoreoviridae",NA,0
"2396","Doryrhina cyclops-smacoviridae","Doryrhina cyclops","smacoviridae",NA,0
"2397","Doryrhina cyclops-spinareoviridae","Doryrhina cyclops","spinareoviridae",NA,0
"2398","Doryrhina cyclops-togaviridae","Doryrhina cyclops","togaviridae",NA,0
"2399","Doryrhina cyclops-totiviridae","Doryrhina cyclops","totiviridae",NA,0
"2400","Doryrhina cyclops-tymoviridae","Doryrhina cyclops","tymoviridae",NA,0
"2401","Dyacopterus spadiceus-adamaviridae","Dyacopterus spadiceus","adamaviridae",NA,0
"2402","Dyacopterus spadiceus-adenoviridae","Dyacopterus spadiceus","adenoviridae",NA,0
"2403","Dyacopterus spadiceus-adintoviridae","Dyacopterus spadiceus","adintoviridae",NA,0
"2404","Dyacopterus spadiceus-anelloviridae","Dyacopterus spadiceus","anelloviridae",NA,0
"2405","Dyacopterus spadiceus-arenaviridae","Dyacopterus spadiceus","arenaviridae",NA,0
"2406","Dyacopterus spadiceus-artoviridae","Dyacopterus spadiceus","artoviridae",NA,0
"2407","Dyacopterus spadiceus-astroviridae","Dyacopterus spadiceus","astroviridae",NA,0
"2408","Dyacopterus spadiceus-birnaviridae","Dyacopterus spadiceus","birnaviridae",NA,0
"2409","Dyacopterus spadiceus-bornaviridae","Dyacopterus spadiceus","bornaviridae",NA,0
"2410","Dyacopterus spadiceus-botourmiaviridae","Dyacopterus spadiceus","botourmiaviridae",NA,0
"2411","Dyacopterus spadiceus-caliciviridae","Dyacopterus spadiceus","caliciviridae",NA,0
"2412","Dyacopterus spadiceus-chuviridae","Dyacopterus spadiceus","chuviridae",NA,0
"2413","Dyacopterus spadiceus-circoviridae","Dyacopterus spadiceus","circoviridae",NA,0
"2414","Dyacopterus spadiceus-coronaviridae","Dyacopterus spadiceus","coronaviridae",1,1
"2415","Dyacopterus spadiceus-filoviridae","Dyacopterus spadiceus","filoviridae",NA,0
"2416","Dyacopterus spadiceus-flaviviridae","Dyacopterus spadiceus","flaviviridae",NA,0
"2417","Dyacopterus spadiceus-geminiviridae","Dyacopterus spadiceus","geminiviridae",NA,0
"2418","Dyacopterus spadiceus-genomoviridae","Dyacopterus spadiceus","genomoviridae",NA,0
"2419","Dyacopterus spadiceus-hantaviridae","Dyacopterus spadiceus","hantaviridae",NA,0
"2420","Dyacopterus spadiceus-hepadnaviridae","Dyacopterus spadiceus","hepadnaviridae",NA,0
"2421","Dyacopterus spadiceus-hepeviridae","Dyacopterus spadiceus","hepeviridae",NA,0
"2422","Dyacopterus spadiceus-kolmioviridae","Dyacopterus spadiceus","kolmioviridae",NA,0
"2423","Dyacopterus spadiceus-mahapunaviridae","Dyacopterus spadiceus","mahapunaviridae",NA,0
"2424","Dyacopterus spadiceus-matonaviridae","Dyacopterus spadiceus","matonaviridae",NA,0
"2425","Dyacopterus spadiceus-nairoviridae","Dyacopterus spadiceus","nairoviridae",NA,0
"2426","Dyacopterus spadiceus-nodaviridae","Dyacopterus spadiceus","nodaviridae",NA,0
"2427","Dyacopterus spadiceus-nyamiviridae","Dyacopterus spadiceus","nyamiviridae",NA,0
"2428","Dyacopterus spadiceus-orthoherpesviridae","Dyacopterus spadiceus","orthoherpesviridae",NA,0
"2429","Dyacopterus spadiceus-orthomyxoviridae","Dyacopterus spadiceus","orthomyxoviridae",NA,0
"2430","Dyacopterus spadiceus-papillomaviridae","Dyacopterus spadiceus","papillomaviridae",NA,0
"2431","Dyacopterus spadiceus-paramyxoviridae","Dyacopterus spadiceus","paramyxoviridae",NA,0
"2432","Dyacopterus spadiceus-partitiviridae","Dyacopterus spadiceus","partitiviridae",NA,0
"2433","Dyacopterus spadiceus-parvoviridae","Dyacopterus spadiceus","parvoviridae",NA,0
"2434","Dyacopterus spadiceus-peribunyaviridae","Dyacopterus spadiceus","peribunyaviridae",NA,0
"2435","Dyacopterus spadiceus-phenuiviridae","Dyacopterus spadiceus","phenuiviridae",NA,0
"2436","Dyacopterus spadiceus-picobirnaviridae","Dyacopterus spadiceus","picobirnaviridae",NA,0
"2437","Dyacopterus spadiceus-picornaviridae","Dyacopterus spadiceus","picornaviridae",NA,0
"2438","Dyacopterus spadiceus-polyomaviridae","Dyacopterus spadiceus","polyomaviridae",NA,0
"2439","Dyacopterus spadiceus-poxviridae","Dyacopterus spadiceus","poxviridae",NA,0
"2440","Dyacopterus spadiceus-qinviridae","Dyacopterus spadiceus","qinviridae",NA,0
"2441","Dyacopterus spadiceus-retroviridae","Dyacopterus spadiceus","retroviridae",NA,0
"2442","Dyacopterus spadiceus-rhabdoviridae","Dyacopterus spadiceus","rhabdoviridae",NA,0
"2443","Dyacopterus spadiceus-sedoreoviridae","Dyacopterus spadiceus","sedoreoviridae",NA,0
"2444","Dyacopterus spadiceus-smacoviridae","Dyacopterus spadiceus","smacoviridae",NA,0
"2445","Dyacopterus spadiceus-spinareoviridae","Dyacopterus spadiceus","spinareoviridae",NA,0
"2446","Dyacopterus spadiceus-togaviridae","Dyacopterus spadiceus","togaviridae",NA,0
"2447","Dyacopterus spadiceus-totiviridae","Dyacopterus spadiceus","totiviridae",NA,0
"2448","Dyacopterus spadiceus-tymoviridae","Dyacopterus spadiceus","tymoviridae",NA,0
"2449","Eidolon dupreanum-adamaviridae","Eidolon dupreanum","adamaviridae",NA,0
"2450","Eidolon dupreanum-adenoviridae","Eidolon dupreanum","adenoviridae",NA,0
"2451","Eidolon dupreanum-adintoviridae","Eidolon dupreanum","adintoviridae",NA,0
"2452","Eidolon dupreanum-anelloviridae","Eidolon dupreanum","anelloviridae",NA,0
"2453","Eidolon dupreanum-arenaviridae","Eidolon dupreanum","arenaviridae",NA,0
"2454","Eidolon dupreanum-artoviridae","Eidolon dupreanum","artoviridae",NA,0
"2455","Eidolon dupreanum-astroviridae","Eidolon dupreanum","astroviridae",1,1
"2456","Eidolon dupreanum-birnaviridae","Eidolon dupreanum","birnaviridae",NA,0
"2457","Eidolon dupreanum-bornaviridae","Eidolon dupreanum","bornaviridae",NA,0
"2458","Eidolon dupreanum-botourmiaviridae","Eidolon dupreanum","botourmiaviridae",NA,0
"2459","Eidolon dupreanum-caliciviridae","Eidolon dupreanum","caliciviridae",1,1
"2460","Eidolon dupreanum-chuviridae","Eidolon dupreanum","chuviridae",NA,0
"2461","Eidolon dupreanum-circoviridae","Eidolon dupreanum","circoviridae",NA,0
"2462","Eidolon dupreanum-coronaviridae","Eidolon dupreanum","coronaviridae",1,1
"2463","Eidolon dupreanum-filoviridae","Eidolon dupreanum","filoviridae",NA,0
"2464","Eidolon dupreanum-flaviviridae","Eidolon dupreanum","flaviviridae",NA,0
"2465","Eidolon dupreanum-geminiviridae","Eidolon dupreanum","geminiviridae",NA,0
"2466","Eidolon dupreanum-genomoviridae","Eidolon dupreanum","genomoviridae",NA,0
"2467","Eidolon dupreanum-hantaviridae","Eidolon dupreanum","hantaviridae",NA,0
"2468","Eidolon dupreanum-hepadnaviridae","Eidolon dupreanum","hepadnaviridae",NA,0
"2469","Eidolon dupreanum-hepeviridae","Eidolon dupreanum","hepeviridae",NA,0
"2470","Eidolon dupreanum-kolmioviridae","Eidolon dupreanum","kolmioviridae",NA,0
"2471","Eidolon dupreanum-mahapunaviridae","Eidolon dupreanum","mahapunaviridae",NA,0
"2472","Eidolon dupreanum-matonaviridae","Eidolon dupreanum","matonaviridae",NA,0
"2473","Eidolon dupreanum-nairoviridae","Eidolon dupreanum","nairoviridae",NA,0
"2474","Eidolon dupreanum-nodaviridae","Eidolon dupreanum","nodaviridae",NA,0
"2475","Eidolon dupreanum-nyamiviridae","Eidolon dupreanum","nyamiviridae",NA,0
"2476","Eidolon dupreanum-orthoherpesviridae","Eidolon dupreanum","orthoherpesviridae",1,1
"2477","Eidolon dupreanum-orthomyxoviridae","Eidolon dupreanum","orthomyxoviridae",NA,0
"2478","Eidolon dupreanum-papillomaviridae","Eidolon dupreanum","papillomaviridae",NA,0
"2479","Eidolon dupreanum-paramyxoviridae","Eidolon dupreanum","paramyxoviridae",1,1
"2480","Eidolon dupreanum-partitiviridae","Eidolon dupreanum","partitiviridae",NA,0
"2481","Eidolon dupreanum-parvoviridae","Eidolon dupreanum","parvoviridae",NA,0
"2482","Eidolon dupreanum-peribunyaviridae","Eidolon dupreanum","peribunyaviridae",NA,0
"2483","Eidolon dupreanum-phenuiviridae","Eidolon dupreanum","phenuiviridae",NA,0
"2484","Eidolon dupreanum-picobirnaviridae","Eidolon dupreanum","picobirnaviridae",NA,0
"2485","Eidolon dupreanum-picornaviridae","Eidolon dupreanum","picornaviridae",1,1
"2486","Eidolon dupreanum-polyomaviridae","Eidolon dupreanum","polyomaviridae",NA,0
"2487","Eidolon dupreanum-poxviridae","Eidolon dupreanum","poxviridae",NA,0
"2488","Eidolon dupreanum-qinviridae","Eidolon dupreanum","qinviridae",NA,0
"2489","Eidolon dupreanum-retroviridae","Eidolon dupreanum","retroviridae",NA,0
"2490","Eidolon dupreanum-rhabdoviridae","Eidolon dupreanum","rhabdoviridae",1,1
"2491","Eidolon dupreanum-sedoreoviridae","Eidolon dupreanum","sedoreoviridae",NA,0
"2492","Eidolon dupreanum-smacoviridae","Eidolon dupreanum","smacoviridae",NA,0
"2493","Eidolon dupreanum-spinareoviridae","Eidolon dupreanum","spinareoviridae",NA,0
"2494","Eidolon dupreanum-togaviridae","Eidolon dupreanum","togaviridae",NA,0
"2495","Eidolon dupreanum-totiviridae","Eidolon dupreanum","totiviridae",NA,0
"2496","Eidolon dupreanum-tymoviridae","Eidolon dupreanum","tymoviridae",NA,0
"2497","Eidolon helvum-adamaviridae","Eidolon helvum","adamaviridae",NA,0
"2498","Eidolon helvum-adenoviridae","Eidolon helvum","adenoviridae",1,1
"2499","Eidolon helvum-adintoviridae","Eidolon helvum","adintoviridae",NA,0
"2500","Eidolon helvum-anelloviridae","Eidolon helvum","anelloviridae",NA,0
"2501","Eidolon helvum-arenaviridae","Eidolon helvum","arenaviridae",NA,0
"2502","Eidolon helvum-artoviridae","Eidolon helvum","artoviridae",NA,0
"2503","Eidolon helvum-astroviridae","Eidolon helvum","astroviridae",1,1
"2504","Eidolon helvum-birnaviridae","Eidolon helvum","birnaviridae",NA,0
"2505","Eidolon helvum-bornaviridae","Eidolon helvum","bornaviridae",NA,0
"2506","Eidolon helvum-botourmiaviridae","Eidolon helvum","botourmiaviridae",NA,0
"2507","Eidolon helvum-caliciviridae","Eidolon helvum","caliciviridae",1,1
"2508","Eidolon helvum-chuviridae","Eidolon helvum","chuviridae",NA,0
"2509","Eidolon helvum-circoviridae","Eidolon helvum","circoviridae",1,1
"2510","Eidolon helvum-coronaviridae","Eidolon helvum","coronaviridae",1,1
"2511","Eidolon helvum-filoviridae","Eidolon helvum","filoviridae",1,1
"2512","Eidolon helvum-flaviviridae","Eidolon helvum","flaviviridae",1,1
"2513","Eidolon helvum-geminiviridae","Eidolon helvum","geminiviridae",NA,0
"2514","Eidolon helvum-genomoviridae","Eidolon helvum","genomoviridae",NA,0
"2515","Eidolon helvum-hantaviridae","Eidolon helvum","hantaviridae",NA,0
"2516","Eidolon helvum-hepadnaviridae","Eidolon helvum","hepadnaviridae",NA,0
"2517","Eidolon helvum-hepeviridae","Eidolon helvum","hepeviridae",NA,0
"2518","Eidolon helvum-kolmioviridae","Eidolon helvum","kolmioviridae",NA,0
"2519","Eidolon helvum-mahapunaviridae","Eidolon helvum","mahapunaviridae",NA,0
"2520","Eidolon helvum-matonaviridae","Eidolon helvum","matonaviridae",NA,0
"2521","Eidolon helvum-nairoviridae","Eidolon helvum","nairoviridae",NA,0
"2522","Eidolon helvum-nodaviridae","Eidolon helvum","nodaviridae",NA,0
"2523","Eidolon helvum-nyamiviridae","Eidolon helvum","nyamiviridae",NA,0
"2524","Eidolon helvum-orthoherpesviridae","Eidolon helvum","orthoherpesviridae",1,1
"2525","Eidolon helvum-orthomyxoviridae","Eidolon helvum","orthomyxoviridae",1,1
"2526","Eidolon helvum-papillomaviridae","Eidolon helvum","papillomaviridae",1,1
"2527","Eidolon helvum-paramyxoviridae","Eidolon helvum","paramyxoviridae",1,1
"2528","Eidolon helvum-partitiviridae","Eidolon helvum","partitiviridae",NA,0
"2529","Eidolon helvum-parvoviridae","Eidolon helvum","parvoviridae",1,1
"2530","Eidolon helvum-peribunyaviridae","Eidolon helvum","peribunyaviridae",NA,0
"2531","Eidolon helvum-phenuiviridae","Eidolon helvum","phenuiviridae",NA,0
"2532","Eidolon helvum-picobirnaviridae","Eidolon helvum","picobirnaviridae",1,1
"2533","Eidolon helvum-picornaviridae","Eidolon helvum","picornaviridae",1,1
"2534","Eidolon helvum-polyomaviridae","Eidolon helvum","polyomaviridae",1,1
"2535","Eidolon helvum-poxviridae","Eidolon helvum","poxviridae",1,1
"2536","Eidolon helvum-qinviridae","Eidolon helvum","qinviridae",NA,0
"2537","Eidolon helvum-retroviridae","Eidolon helvum","retroviridae",1,1
"2538","Eidolon helvum-rhabdoviridae","Eidolon helvum","rhabdoviridae",1,1
"2539","Eidolon helvum-sedoreoviridae","Eidolon helvum","sedoreoviridae",1,1
"2540","Eidolon helvum-smacoviridae","Eidolon helvum","smacoviridae",NA,0
"2541","Eidolon helvum-spinareoviridae","Eidolon helvum","spinareoviridae",NA,0
"2542","Eidolon helvum-togaviridae","Eidolon helvum","togaviridae",NA,0
