"sp_links","Host","Virus","VirusFamily","zoonotic","fam_links"
"Doryrhina cyclops-adenovirus predict_adv-39","Doryrhina cyclops","adenovirus predict_adv-39","adenoviridae",0,"Doryrhina cyclops-adenoviridae"
"Doryrhina cyclops-adenovirus predict_adv-68","Doryrhina cyclops","adenovirus predict_adv-68","adenoviridae",0,"Doryrhina cyclops-adenoviridae"
"Dyacopterus spadiceus-bat coronavirus philippines/diliman1525g2/2008","Dyacopterus spadiceus","bat coronavirus philippines/diliman1525g2/2008","coronaviridae",0,"Dyacopterus spadiceus-coronaviridae"
"Eidolon helvum-adenovirus predict_adv-63","Eidolon helvum","adenovirus predict_adv-63","adenoviridae",0,"Eidolon helvum-adenoviridae"
"Eidolon helvum-chaerephon bat coronavirus/kenya/ky22/2006","Eidolon helvum","chaerephon bat coronavirus/kenya/ky22/2006","coronaviridae",0,"Eidolon helvum-coronaviridae"
"Eidolon helvum-eidolon bat coronavirus/kenya/ky24/2006","Eidolon helvum","eidolon bat coronavirus/kenya/ky24/2006","coronaviridae",0,"Eidolon helvum-coronaviridae"
"Eidolon helvum-eidolon helvum paramyxovirus","Eidolon helvum","eidolon helvum paramyxovirus","paramyxoviridae",0,"Eidolon helvum-paramyxoviridae"
"Eidolon helvum-influenza a virus","Eidolon helvum","influenza a virus","orthomyxoviridae",1,"Eidolon helvum-orthomyxoviridae"
"Eidolon helvum-kenya bat coronavirus/btky56/btky55","Eidolon helvum","kenya bat coronavirus/btky56/btky55","coronaviridae",0,"Eidolon helvum-coronaviridae"
"Eidolon helvum-paramyxovirus predict_pmv-56","Eidolon helvum","paramyxovirus predict_pmv-56","paramyxoviridae",0,"Eidolon helvum-paramyxoviridae"
"Eidolon helvum-rousettus bat coronavirus hku9","Eidolon helvum","rousettus bat coronavirus hku9","coronaviridae",0,"Eidolon helvum-coronaviridae"
"Eonycteris spelaea-coronavirus predict cov-22","Eonycteris spelaea","coronavirus predict cov-22","coronaviridae",0,"Eonycteris spelaea-coronaviridae"
"Eonycteris spelaea-rousettus bat coronavirus hku9","Eonycteris spelaea","rousettus bat coronavirus hku9","coronaviridae",0,"Eonycteris spelaea-coronaviridae"
"Epomophorus gambianus-bat mastadenovirus","Epomophorus gambianus","bat mastadenovirus","adenoviridae",0,"Epomophorus gambianus-adenoviridae"
"Epomophorus gambianus-chaerephon bat coronavirus/kenya/ky22/2006","Epomophorus gambianus","chaerephon bat coronavirus/kenya/ky22/2006","coronaviridae",0,"Epomophorus gambianus-coronaviridae"
"Epomophorus gambianus-kenya bat coronavirus/btky56/btky55","Epomophorus gambianus","kenya bat coronavirus/btky56/btky55","coronaviridae",0,"Epomophorus gambianus-coronaviridae"
"Epomophorus labiatus-kenya bat coronavirus/btky56/btky55","Epomophorus labiatus","kenya bat coronavirus/btky56/btky55","coronaviridae",0,"Epomophorus labiatus-coronaviridae"
"Epomophorus pusillus-adenovirus predict_adv-38","Epomophorus pusillus","adenovirus predict_adv-38","adenoviridae",0,"Epomophorus pusillus-adenoviridae"
"Epomophorus pusillus-adenovirus predict_adv-79","Epomophorus pusillus","adenovirus predict_adv-79","adenoviridae",0,"Epomophorus pusillus-adenoviridae"
"Epomophorus pusillus-chaerephon bat coronavirus/kenya/ky22/2006","Epomophorus pusillus","chaerephon bat coronavirus/kenya/ky22/2006","coronaviridae",0,"Epomophorus pusillus-coronaviridae"
"Epomophorus pusillus-kenya bat coronavirus/btky56/btky55","Epomophorus pusillus","kenya bat coronavirus/btky56/btky55","coronaviridae",0,"Epomophorus pusillus-coronaviridae"
"Epomops buettikoferi-kenya bat coronavirus/btky56/btky55","Epomops buettikoferi","kenya bat coronavirus/btky56/btky55","coronaviridae",0,"Epomops buettikoferi-coronaviridae"
"Epomops franqueti-adenovirus predict_adv-28","Epomops franqueti","adenovirus predict_adv-28","adenoviridae",0,"Epomops franqueti-adenoviridae"
"Epomops franqueti-adenovirus predict_adv-29","Epomops franqueti","adenovirus predict_adv-29","adenoviridae",0,"Epomops franqueti-adenoviridae"
"Epomops franqueti-bat mastadenovirus","Epomops franqueti","bat mastadenovirus","adenoviridae",0,"Epomops franqueti-adenoviridae"
"Epomops franqueti-chaerephon bat coronavirus/kenya/ky22/2006","Epomops franqueti","chaerephon bat coronavirus/kenya/ky22/2006","coronaviridae",0,"Epomops franqueti-coronaviridae"
"Epomops franqueti-coronavirus predict cov-30","Epomops franqueti","coronavirus predict cov-30","coronaviridae",0,"Epomops franqueti-coronaviridae"
"Epomops franqueti-eidolon bat coronavirus/kenya/ky24/2006","Epomops franqueti","eidolon bat coronavirus/kenya/ky24/2006","coronaviridae",0,"Epomops franqueti-coronaviridae"
"Epomops franqueti-kenya bat coronavirus/btky56/btky55","Epomops franqueti","kenya bat coronavirus/btky56/btky55","coronaviridae",0,"Epomops franqueti-coronaviridae"
"Glauconycteris variegata-chaerephon bat coronavirus/kenya/ky22/2006","Glauconycteris variegata","chaerephon bat coronavirus/kenya/ky22/2006","coronaviridae",0,"Glauconycteris variegata-coronaviridae"
"Glossophaga soricina-adenovirus predict_adv-14","Glossophaga soricina","adenovirus predict_adv-14","adenoviridae",0,"Glossophaga soricina-adenoviridae"
"Glossophaga soricina-adenovirus predict_adv-16","Glossophaga soricina","adenovirus predict_adv-16","adenoviridae",0,"Glossophaga soricina-adenoviridae"
"Glossophaga soricina-adenovirus predict_adv-81","Glossophaga soricina","adenovirus predict_adv-81","adenoviridae",0,"Glossophaga soricina-adenoviridae"
"Glossophaga soricina-adenovirus predict_adv-87","Glossophaga soricina","adenovirus predict_adv-87","adenoviridae",0,"Glossophaga soricina-adenoviridae"
"Glossophaga soricina-coronavirus predict cov-13","Glossophaga soricina","coronavirus predict cov-13","coronaviridae",0,"Glossophaga soricina-coronaviridae"
"Glossophaga soricina-venezuelan equine encephalitis virus","Glossophaga soricina","venezuelan equine encephalitis virus","togaviridae",1,"Glossophaga soricina-togaviridae"
"Hipposideros armiger-bat astrovirus hi/guangxi/px05/2007","Hipposideros armiger","bat astrovirus hi/guangxi/px05/2007","astroviridae",0,"Hipposideros armiger-astroviridae"
"Hipposideros armiger-bat astrovirus tm/guangxi/ld145/2007","Hipposideros armiger","bat astrovirus tm/guangxi/ld145/2007","astroviridae",0,"Hipposideros armiger-astroviridae"
"Hipposideros armiger-bat astrovirus tm/guangxi/ld39/2007","Hipposideros armiger","bat astrovirus tm/guangxi/ld39/2007","astroviridae",0,"Hipposideros armiger-astroviridae"
"Hipposideros armiger-bat astrovirus tm/guangxi/ld46/2007","Hipposideros armiger","bat astrovirus tm/guangxi/ld46/2007","astroviridae",0,"Hipposideros armiger-astroviridae"
"Hipposideros armiger-paramyxovirus yn12103/chn/2012/predict-eha-156-12-ah-yld011","Hipposideros armiger","paramyxovirus yn12103/chn/2012/predict-eha-156-12-ah-yld011","paramyxoviridae",0,"Hipposideros armiger-paramyxoviridae"
"Hipposideros armiger-severe acute respiratory syndrome-related coronavirus","Hipposideros armiger","severe acute respiratory syndrome-related coronavirus","coronaviridae",0,"Hipposideros armiger-coronaviridae"
"Hipposideros armiger-vespertilionid betacoronavirus","Hipposideros armiger","vespertilionid betacoronavirus","coronaviridae",0,"Hipposideros armiger-coronaviridae"
"Hipposideros bicolor-coronavirus predict cov-36","Hipposideros bicolor","coronavirus predict cov-36","coronaviridae",0,"Hipposideros bicolor-coronaviridae"
"Hipposideros caffer-adenovirus predict_adv-36","Hipposideros caffer","adenovirus predict_adv-36","adenoviridae",0,"Hipposideros caffer-adenoviridae"
"Hipposideros caffer-adenovirus predict_adv-48","Hipposideros caffer","adenovirus predict_adv-48","adenoviridae",0,"Hipposideros caffer-adenoviridae"
"Hipposideros caffer-adenovirus predict_adv-49","Hipposideros caffer","adenovirus predict_adv-49","adenoviridae",0,"Hipposideros caffer-adenoviridae"
"Hipposideros caffer-adenovirus predict_adv-50","Hipposideros caffer","adenovirus predict_adv-50","adenoviridae",0,"Hipposideros caffer-adenoviridae"
"Hipposideros caffer-bat coronavirus gabon/292/2009","Hipposideros caffer","bat coronavirus gabon/292/2009","coronaviridae",0,"Hipposideros caffer-coronaviridae"
"Hipposideros caffer-coronavirus predict cov-32","Hipposideros caffer","coronavirus predict cov-32","coronaviridae",0,"Hipposideros caffer-coronaviridae"
"Hipposideros caffer-coronavirus predict cov-43","Hipposideros caffer","coronavirus predict cov-43","coronaviridae",0,"Hipposideros caffer-coronaviridae"
"Hipposideros caffer-coronavirus predict cov-62","Hipposideros caffer","coronavirus predict cov-62","coronaviridae",0,"Hipposideros caffer-coronaviridae"
"Hipposideros caffer-human coronavirus 229e","Hipposideros caffer","human coronavirus 229e","coronaviridae",1,"Hipposideros caffer-coronaviridae"
"Hipposideros caffer-paramyxovirus predict_pmv-174","Hipposideros caffer","paramyxovirus predict_pmv-174","paramyxoviridae",0,"Hipposideros caffer-paramyxoviridae"
"Hipposideros caffer-paramyxovirus predict_pmv-60","Hipposideros caffer","paramyxovirus predict_pmv-60","paramyxoviridae",0,"Hipposideros caffer-paramyxoviridae"
"Hipposideros caffer-polyomavirus predict_pyv-14","Hipposideros caffer","polyomavirus predict_pyv-14","polyomaviridae",0,"Hipposideros caffer-polyomaviridae"
"Hipposideros caffer-polyomavirus predict_pyv-24","Hipposideros caffer","polyomavirus predict_pyv-24","polyomaviridae",0,"Hipposideros caffer-polyomaviridae"
"Hipposideros caffer-polyomavirus predict_pyv-25","Hipposideros caffer","polyomavirus predict_pyv-25","polyomaviridae",0,"Hipposideros caffer-polyomaviridae"
"Hipposideros cervinus-paramyxovirus predict_pmv-110","Hipposideros cervinus","paramyxovirus predict_pmv-110","paramyxoviridae",0,"Hipposideros cervinus-paramyxoviridae"
"Hipposideros cervinus-paramyxovirus predict_pmv-72","Hipposideros cervinus","paramyxovirus predict_pmv-72","paramyxoviridae",0,"Hipposideros cervinus-paramyxoviridae"
"Hipposideros cervinus-paramyxovirus predict_pmv-74","Hipposideros cervinus","paramyxovirus predict_pmv-74","paramyxoviridae",0,"Hipposideros cervinus-paramyxoviridae"
"Hipposideros cervinus-paramyxovirus predict_pmv-81","Hipposideros cervinus","paramyxovirus predict_pmv-81","paramyxoviridae",0,"Hipposideros cervinus-paramyxoviridae"
"Hipposideros cervinus-paramyxovirus predict_pmv-98","Hipposideros cervinus","paramyxovirus predict_pmv-98","paramyxoviridae",0,"Hipposideros cervinus-paramyxoviridae"
"Hipposideros cervinus-paramyxovirus predict_pmv-99","Hipposideros cervinus","paramyxovirus predict_pmv-99","paramyxoviridae",0,"Hipposideros cervinus-paramyxoviridae"
"Hipposideros diadema-adenovirus predict_adv-66","Hipposideros diadema","adenovirus predict_adv-66","adenoviridae",0,"Hipposideros diadema-adenoviridae"
"Hipposideros diadema-adenovirus predict_adv-67","Hipposideros diadema","adenovirus predict_adv-67","adenoviridae",0,"Hipposideros diadema-adenoviridae"
"Hipposideros diadema-coronavirus predict cov-52","Hipposideros diadema","coronavirus predict cov-52","coronaviridae",0,"Hipposideros diadema-coronaviridae"
"Hipposideros diadema-paramyxovirus predict_pmv-108","Hipposideros diadema","paramyxovirus predict_pmv-108","paramyxoviridae",0,"Hipposideros diadema-paramyxoviridae"
