"sp_links","Host","Virus","VirusFamily","zoonotic","fam_links"
"Aselliscus stoliczkanus-partitiviridae sp.","Aselliscus stoliczkanus","partitiviridae sp.","partitiviridae",0,"Aselliscus stoliczkanus-partitiviridae"
"Aselliscus stoliczkanus-phenuiviridae sp.","Aselliscus stoliczkanus","phenuiviridae sp.","phenuiviridae",0,"Aselliscus stoliczkanus-phenuiviridae"
"Aselliscus stoliczkanus-picornaviridae sp.","Aselliscus stoliczkanus","picornaviridae sp.","picornaviridae",1,"Aselliscus stoliczkanus-picornaviridae"
"Aselliscus stoliczkanus-rhabdoviridae sp.","Aselliscus stoliczkanus","rhabdoviridae sp.","rhabdoviridae",0,"Aselliscus stoliczkanus-rhabdoviridae"
"Aselliscus stoliczkanus-rhabdovirus sp.","Aselliscus stoliczkanus","rhabdovirus sp.","rhabdoviridae",0,"Aselliscus stoliczkanus-rhabdoviridae"
"Aselliscus stoliczkanus-togaviridae sp.","Aselliscus stoliczkanus","togaviridae sp.","togaviridae",0,"Aselliscus stoliczkanus-togaviridae"
"Aselliscus stoliczkanus-totiviridae sp.","Aselliscus stoliczkanus","totiviridae sp.","totiviridae",0,"Aselliscus stoliczkanus-totiviridae"
"Balionycteris maculata-mamastrovirus sp.","Balionycteris maculata","mamastrovirus sp.","astroviridae",1,"Balionycteris maculata-astroviridae"
"Barbastella barbastellus-bat astrovirus","Barbastella barbastellus","bat astrovirus","astroviridae",0,"Barbastella barbastellus-astroviridae"
"Barbastella barbastellus-circovirus sp.","Barbastella barbastellus","circovirus sp.","circoviridae",0,"Barbastella barbastellus-circoviridae"
"Barbastella barbastellus-lyssavirus hamburg","Barbastella barbastellus","lyssavirus hamburg","rhabdoviridae",1,"Barbastella barbastellus-rhabdoviridae"
"Cardioderma cor-alphapolyomavirus cardiodermae","Cardioderma cor","alphapolyomavirus cardiodermae","polyomaviridae",0,"Cardioderma cor-polyomaviridae"
"Cardioderma cor-bat mastadenovirus","Cardioderma cor","bat mastadenovirus","adenoviridae",0,"Cardioderma cor-adenoviridae"
"Cardioderma cor-cardioderma bat adenovirus","Cardioderma cor","cardioderma bat adenovirus","adenoviridae",0,"Cardioderma cor-adenoviridae"
"Cardioderma cor-cardioderma bat astrovirus","Cardioderma cor","cardioderma bat astrovirus","astroviridae",0,"Cardioderma cor-astroviridae"
"Cardioderma cor-cardioderma bat calicivirus","Cardioderma cor","cardioderma bat calicivirus","caliciviridae",0,"Cardioderma cor-caliciviridae"
"Carollia brevicauda-alphacoronavirus sp.","Carollia brevicauda","alphacoronavirus sp.","coronaviridae",0,"Carollia brevicauda-coronaviridae"
"Carollia brevicauda-orthoflavivirus denguei","Carollia brevicauda","orthoflavivirus denguei","flaviviridae",1,"Carollia brevicauda-flaviviridae"
"Carollia perspicillata-alphacoronavirus sp.","Carollia perspicillata","alphacoronavirus sp.","coronaviridae",0,"Carollia perspicillata-coronaviridae"
"Carollia perspicillata-alphapolyomavirus carolliae","Carollia perspicillata","alphapolyomavirus carolliae","polyomaviridae",0,"Carollia perspicillata-polyomaviridae"
"Carollia perspicillata-bat alphacoronavirus","Carollia perspicillata","bat alphacoronavirus","coronaviridae",0,"Carollia perspicillata-coronaviridae"
"Carollia perspicillata-bat coronavirus","Carollia perspicillata","bat coronavirus","coronaviridae",0,"Carollia perspicillata-coronaviridae"
"Carollia perspicillata-bat mastadenovirus","Carollia perspicillata","bat mastadenovirus","adenoviridae",0,"Carollia perspicillata-adenoviridae"
"Carollia perspicillata-bat papillomavirus","Carollia perspicillata","bat papillomavirus","papillomaviridae",0,"Carollia perspicillata-papillomaviridae"
"Carollia perspicillata-bat rotavirus","Carollia perspicillata","bat rotavirus","sedoreoviridae",0,"Carollia perspicillata-sedoreoviridae"
"Carollia perspicillata-carollia perspicillata gammaherpesvirus 1","Carollia perspicillata","carollia perspicillata gammaherpesvirus 1","orthoherpesviridae",0,"Carollia perspicillata-orthoherpesviridae"
"Carollia perspicillata-carollia perspicillata gammaherpesvirus 2","Carollia perspicillata","carollia perspicillata gammaherpesvirus 2","orthoherpesviridae",0,"Carollia perspicillata-orthoherpesviridae"
"Carollia perspicillata-guato paramyxovirus","Carollia perspicillata","guato paramyxovirus","paramyxoviridae",0,"Carollia perspicillata-paramyxoviridae"
"Carollia perspicillata-jeilongvirus murinae","Carollia perspicillata","jeilongvirus murinae","paramyxoviridae",0,"Carollia perspicillata-paramyxoviridae"
"Carollia perspicillata-lyssavirus rabies","Carollia perspicillata","lyssavirus rabies","rhabdoviridae",1,"Carollia perspicillata-rhabdoviridae"
"Carollia perspicillata-mamanguape virus","Carollia perspicillata","mamanguape virus","hantaviridae",0,"Carollia perspicillata-hantaviridae"
"Carollia perspicillata-mamastrovirus sp.","Carollia perspicillata","mamastrovirus sp.","astroviridae",1,"Carollia perspicillata-astroviridae"
"Carollia perspicillata-orthoflavivirus denguei","Carollia perspicillata","orthoflavivirus denguei","flaviviridae",1,"Carollia perspicillata-flaviviridae"
"Carollia perspicillata-orthohantavirus andesense","Carollia perspicillata","orthohantavirus andesense","hantaviridae",1,"Carollia perspicillata-hantaviridae"
"Carollia perspicillata-parajeilongvirus carolliae","Carollia perspicillata","parajeilongvirus carolliae","paramyxoviridae",0,"Carollia perspicillata-paramyxoviridae"
"Carollia perspicillata-pegivirus carolliae","Carollia perspicillata","pegivirus carolliae","flaviviridae",0,"Carollia perspicillata-flaviviridae"
"Carollia perspicillata-pegivirus pteropi","Carollia perspicillata","pegivirus pteropi","flaviviridae",0,"Carollia perspicillata-flaviviridae"
"Carollia perspicillata-tiete mammarenavirus","Carollia perspicillata","tiete mammarenavirus","arenaviridae",0,"Carollia perspicillata-arenaviridae"
"Carollia perspicillata-torque teno carollia perspicillata virus","Carollia perspicillata","torque teno carollia perspicillata virus","anelloviridae",0,"Carollia perspicillata-anelloviridae"
"Carollia perspicillata-venezuelan equine encephalitis virus","Carollia perspicillata","venezuelan equine encephalitis virus","togaviridae",1,"Carollia perspicillata-togaviridae"
"Carollia sowelli-bat alphacoronavirus","Carollia sowelli","bat alphacoronavirus","coronaviridae",0,"Carollia sowelli-coronaviridae"
"Casinycteris argynnis-cyclovirus sp.","Casinycteris argynnis","cyclovirus sp.","circoviridae",1,"Casinycteris argynnis-circoviridae"
"Chalinolobus gouldii-bat associated cyclovirus","Chalinolobus gouldii","bat associated cyclovirus","circoviridae",0,"Chalinolobus gouldii-circoviridae"
"Chalinolobus gouldii-bat associated genomovirus","Chalinolobus gouldii","bat associated genomovirus","genomoviridae",0,"Chalinolobus gouldii-genomoviridae"
"Chalinolobus gouldii-chalinolobus gouldii adenovirus","Chalinolobus gouldii","chalinolobus gouldii adenovirus","adenoviridae",0,"Chalinolobus gouldii-adenoviridae"
"Chalinolobus gouldii-chalinolobus gouldii alphacoronavirus","Chalinolobus gouldii","chalinolobus gouldii alphacoronavirus","coronaviridae",0,"Chalinolobus gouldii-coronaviridae"
"Chalinolobus gouldii-chalinolobus gouldii paramyxovirus","Chalinolobus gouldii","chalinolobus gouldii paramyxovirus","paramyxoviridae",0,"Chalinolobus gouldii-paramyxoviridae"
"Chalinolobus gouldii-cyclovirus vauval","Chalinolobus gouldii","cyclovirus vauval","circoviridae",0,"Chalinolobus gouldii-circoviridae"
"Chalinolobus gouldii-mastadenovirus sp.","Chalinolobus gouldii","mastadenovirus sp.","adenoviridae",1,"Chalinolobus gouldii-adenoviridae"
"Chalinolobus morio-chalinolobus morio adenovirus","Chalinolobus morio","chalinolobus morio adenovirus","adenoviridae",0,"Chalinolobus morio-adenoviridae"
"Chalinolobus morio-chalinolobus morio alphacoronavirus","Chalinolobus morio","chalinolobus morio alphacoronavirus","coronaviridae",0,"Chalinolobus morio-coronaviridae"
"Chalinolobus morio-chalinolobus morio paramyxovirus","Chalinolobus morio","chalinolobus morio paramyxovirus","paramyxoviridae",0,"Chalinolobus morio-paramyxoviridae"
"Chalinolobus tuberculatus-bat nodavirus","Chalinolobus tuberculatus","bat nodavirus","nodaviridae",0,"Chalinolobus tuberculatus-nodaviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus alphacoronavirus","Chalinolobus tuberculatus","chalinolobus tuberculatus alphacoronavirus","coronaviridae",0,"Chalinolobus tuberculatus-coronaviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus astrovirus 1","Chalinolobus tuberculatus","chalinolobus tuberculatus astrovirus 1","astroviridae",0,"Chalinolobus tuberculatus-astroviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus astrovirus 2","Chalinolobus tuberculatus","chalinolobus tuberculatus astrovirus 2","astroviridae",0,"Chalinolobus tuberculatus-astroviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus flavivirus 1","Chalinolobus tuberculatus","chalinolobus tuberculatus flavivirus 1","flaviviridae",0,"Chalinolobus tuberculatus-flaviviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus flavivirus 2","Chalinolobus tuberculatus","chalinolobus tuberculatus flavivirus 2","flaviviridae",0,"Chalinolobus tuberculatus-flaviviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus flavivirus 3","Chalinolobus tuberculatus","chalinolobus tuberculatus flavivirus 3","flaviviridae",0,"Chalinolobus tuberculatus-flaviviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus hepevirus 1","Chalinolobus tuberculatus","chalinolobus tuberculatus hepevirus 1","hepeviridae",0,"Chalinolobus tuberculatus-hepeviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus hepevirus 2","Chalinolobus tuberculatus","chalinolobus tuberculatus hepevirus 2","hepeviridae",0,"Chalinolobus tuberculatus-hepeviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus nodavirus 1","Chalinolobus tuberculatus","chalinolobus tuberculatus nodavirus 1","nodaviridae",0,"Chalinolobus tuberculatus-nodaviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus nodavirus 2","Chalinolobus tuberculatus","chalinolobus tuberculatus nodavirus 2","nodaviridae",0,"Chalinolobus tuberculatus-nodaviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus papillomavirus","Chalinolobus tuberculatus","chalinolobus tuberculatus papillomavirus","papillomaviridae",0,"Chalinolobus tuberculatus-papillomaviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus paramyxovirus 1","Chalinolobus tuberculatus","chalinolobus tuberculatus paramyxovirus 1","paramyxoviridae",0,"Chalinolobus tuberculatus-paramyxoviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus paramyxovirus 2","Chalinolobus tuberculatus","chalinolobus tuberculatus paramyxovirus 2","paramyxoviridae",0,"Chalinolobus tuberculatus-paramyxoviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus paramyxovirus 3","Chalinolobus tuberculatus","chalinolobus tuberculatus paramyxovirus 3","paramyxoviridae",0,"Chalinolobus tuberculatus-paramyxoviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus peribunyavirus","Chalinolobus tuberculatus","chalinolobus tuberculatus peribunyavirus","peribunyaviridae",0,"Chalinolobus tuberculatus-peribunyaviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus picobirnavirus 1","Chalinolobus tuberculatus","chalinolobus tuberculatus picobirnavirus 1","picobirnaviridae",0,"Chalinolobus tuberculatus-picobirnaviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus picobirnavirus 2","Chalinolobus tuberculatus","chalinolobus tuberculatus picobirnavirus 2","picobirnaviridae",0,"Chalinolobus tuberculatus-picobirnaviridae"
"Chalinolobus tuberculatus-chalinolobus tuberculatus rhabdovirus","Chalinolobus tuberculatus","chalinolobus tuberculatus rhabdovirus","rhabdoviridae",0,"Chalinolobus tuberculatus-rhabdoviridae"
"Chalinolobus tuberculatus-jeilongvirus murinae","Chalinolobus tuberculatus","jeilongvirus murinae","paramyxoviridae",0,"Chalinolobus tuberculatus-paramyxoviridae"
"Chalinolobus tuberculatus-pekapeka alphacoronavirus 1","Chalinolobus tuberculatus","pekapeka alphacoronavirus 1","coronaviridae",0,"Chalinolobus tuberculatus-coronaviridae"
"Chalinolobus tuberculatus-pekapeka alphacoronavirus 2","Chalinolobus tuberculatus","pekapeka alphacoronavirus 2","coronaviridae",0,"Chalinolobus tuberculatus-coronaviridae"
"Chalinolobus tuberculatus-pekapeka flavivirus","Chalinolobus tuberculatus","pekapeka flavivirus","flaviviridae",0,"Chalinolobus tuberculatus-flaviviridae"
"Choeroniscus godmani-bat alphacoronavirus","Choeroniscus godmani","bat alphacoronavirus","coronaviridae",0,"Choeroniscus godmani-coronaviridae"
"Chrotopterus auritus-lyssavirus rabies","Chrotopterus auritus","lyssavirus rabies","rhabdoviridae",1,"Chrotopterus auritus-rhabdoviridae"
"Cnephaeus hottentotus-bat orthoparamyxovirinae sp.","Cnephaeus hottentotus","bat orthoparamyxovirinae sp.","paramyxoviridae",0,"Cnephaeus hottentotus-paramyxoviridae"
"Cnephaeus isabellinus-alphacoronavirus sp.","Cnephaeus isabellinus","alphacoronavirus sp.","coronaviridae",0,"Cnephaeus isabellinus-coronaviridae"
"Cnephaeus isabellinus-eptesicus isabellinus betaherpesvirus 1","Cnephaeus isabellinus","eptesicus isabellinus betaherpesvirus 1","orthoherpesviridae",0,"Cnephaeus isabellinus-orthoherpesviridae"
"Cnephaeus isabellinus-eptesicus isabellinus betaherpesvirus 2","Cnephaeus isabellinus","eptesicus isabellinus betaherpesvirus 2","orthoherpesviridae",0,"Cnephaeus isabellinus-orthoherpesviridae"
"Cnephaeus isabellinus-eptesicus isabellinus gammaherpesvirus 1","Cnephaeus isabellinus","eptesicus isabellinus gammaherpesvirus 1","orthoherpesviridae",0,"Cnephaeus isabellinus-orthoherpesviridae"
"Cnephaeus isabellinus-eptesicus isabellinus papillomavirus","Cnephaeus isabellinus","eptesicus isabellinus papillomavirus","papillomaviridae",0,"Cnephaeus isabellinus-papillomaviridae"
"Cnephaeus isabellinus-eptesicus isabellinus rhabdovirus 1","Cnephaeus isabellinus","eptesicus isabellinus rhabdovirus 1","rhabdoviridae",0,"Cnephaeus isabellinus-rhabdoviridae"
"Cnephaeus isabellinus-eptesicus isabellinus rhabdovirus 2","Cnephaeus isabellinus","eptesicus isabellinus rhabdovirus 2","rhabdoviridae",0,"Cnephaeus isabellinus-rhabdoviridae"
"Cnephaeus isabellinus-eptesicus isabellinus rhabdovirus 3","Cnephaeus isabellinus","eptesicus isabellinus rhabdovirus 3","rhabdoviridae",0,"Cnephaeus isabellinus-rhabdoviridae"
"Cnephaeus isabellinus-eptesicus isabellinus rhabdovirus 4","Cnephaeus isabellinus","eptesicus isabellinus rhabdovirus 4","rhabdoviridae",0,"Cnephaeus isabellinus-rhabdoviridae"
"Cnephaeus isabellinus-eptesicus isabellinus rhabdovirus 5","Cnephaeus isabellinus","eptesicus isabellinus rhabdovirus 5","rhabdoviridae",0,"Cnephaeus isabellinus-rhabdoviridae"
"Cnephaeus isabellinus-european bat lyssavirus","Cnephaeus isabellinus","european bat lyssavirus","rhabdoviridae",0,"Cnephaeus isabellinus-rhabdoviridae"
"Cnephaeus isabellinus-lyssavirus hamburg","Cnephaeus isabellinus","lyssavirus hamburg","rhabdoviridae",1,"Cnephaeus isabellinus-rhabdoviridae"
"Cnephaeus japonensis-bat coronavirus","Cnephaeus japonensis","bat coronavirus","coronaviridae",0,"Cnephaeus japonensis-coronaviridae"
"Cnephaeus japonensis-chirohepevirus eptesici","Cnephaeus japonensis","chirohepevirus eptesici","hepeviridae",0,"Cnephaeus japonensis-hepeviridae"
"Cnephaeus japonensis-merbecovirus sp.","Cnephaeus japonensis","merbecovirus sp.","coronaviridae",0,"Cnephaeus japonensis-coronaviridae"
"Cnephaeus nilssonii-bandavirus zwieselense","Cnephaeus nilssonii","bandavirus zwieselense","phenuiviridae",0,"Cnephaeus nilssonii-phenuiviridae"
"Cnephaeus nilssonii-bat betacoronavirus","Cnephaeus nilssonii","bat betacoronavirus","coronaviridae",0,"Cnephaeus nilssonii-coronaviridae"
"Cnephaeus nilssonii-circovirus sp.","Cnephaeus nilssonii","circovirus sp.","circoviridae",0,"Cnephaeus nilssonii-circoviridae"
"Cnephaeus nilssonii-northern bat adenovirus 1","Cnephaeus nilssonii","northern bat adenovirus 1","adenoviridae",0,"Cnephaeus nilssonii-adenoviridae"
"Cnephaeus nilssonii-orthonairovirus issykkulense","Cnephaeus nilssonii","orthonairovirus issykkulense","nairoviridae",0,"Cnephaeus nilssonii-nairoviridae"
"Cnephaeus nilssonii-rhabdovirus 26873","Cnephaeus nilssonii","rhabdovirus 26873","rhabdoviridae",0,"Cnephaeus nilssonii-rhabdoviridae"
"Cnephaeus nilssonii-rhabdovirus 26876","Cnephaeus nilssonii","rhabdovirus 26876","rhabdoviridae",0,"Cnephaeus nilssonii-rhabdoviridae"
"Cnephaeus pachyomus-mamastrovirus sp.","Cnephaeus pachyomus","mamastrovirus sp.","astroviridae",1,"Cnephaeus pachyomus-astroviridae"
"Cnephaeus serotinus-alphapolyomavirus epserotini","Cnephaeus serotinus","alphapolyomavirus epserotini","polyomaviridae",0,"Cnephaeus serotinus-polyomaviridae"
"Cnephaeus serotinus-bat alphacoronavirus","Cnephaeus serotinus","bat alphacoronavirus","coronaviridae",0,"Cnephaeus serotinus-coronaviridae"
"Cnephaeus serotinus-bat astrovirus","Cnephaeus serotinus","bat astrovirus","astroviridae",0,"Cnephaeus serotinus-astroviridae"
"Cnephaeus serotinus-bat circovirus","Cnephaeus serotinus","bat circovirus","circoviridae",0,"Cnephaeus serotinus-circoviridae"
"Cnephaeus serotinus-bat coronavirus","Cnephaeus serotinus","bat coronavirus","coronaviridae",0,"Cnephaeus serotinus-coronaviridae"
"Cnephaeus serotinus-bat gammaretrovirus","Cnephaeus serotinus","bat gammaretrovirus","retroviridae",0,"Cnephaeus serotinus-retroviridae"
"Cnephaeus serotinus-bat mastadenovirus","Cnephaeus serotinus","bat mastadenovirus","adenoviridae",0,"Cnephaeus serotinus-adenoviridae"
"Cnephaeus serotinus-bat nodavirus","Cnephaeus serotinus","bat nodavirus","nodaviridae",0,"Cnephaeus serotinus-nodaviridae"
"Cnephaeus serotinus-chirohepevirus eptesici","Cnephaeus serotinus","chirohepevirus eptesici","hepeviridae",0,"Cnephaeus serotinus-hepeviridae"
"Cnephaeus serotinus-circovirus sp.","Cnephaeus serotinus","circovirus sp.","circoviridae",0,"Cnephaeus serotinus-circoviridae"
"Cnephaeus serotinus-cyclovirus sp.","Cnephaeus serotinus","cyclovirus sp.","circoviridae",1,"Cnephaeus serotinus-circoviridae"
"Cnephaeus serotinus-dyoomegapapillomavirus 1","Cnephaeus serotinus","dyoomegapapillomavirus 1","papillomaviridae",0,"Cnephaeus serotinus-papillomaviridae"
"Cnephaeus serotinus-dyopsipapillomavirus 1","Cnephaeus serotinus","dyopsipapillomavirus 1","papillomaviridae",0,"Cnephaeus serotinus-papillomaviridae"
"Cnephaeus serotinus-eptesicus serotinus betaherpesvirus 1","Cnephaeus serotinus","eptesicus serotinus betaherpesvirus 1","orthoherpesviridae",0,"Cnephaeus serotinus-orthoherpesviridae"
"Cnephaeus serotinus-eptesicus serotinus papillomavirus","Cnephaeus serotinus","eptesicus serotinus papillomavirus","papillomaviridae",0,"Cnephaeus serotinus-papillomaviridae"
"Cnephaeus serotinus-european bat lyssavirus","Cnephaeus serotinus","european bat lyssavirus","rhabdoviridae",0,"Cnephaeus serotinus-rhabdoviridae"
"Cnephaeus serotinus-jeilongvirus murinae","Cnephaeus serotinus","jeilongvirus murinae","paramyxoviridae",0,"Cnephaeus serotinus-paramyxoviridae"
"Cnephaeus serotinus-lyssavirus hamburg","Cnephaeus serotinus","lyssavirus hamburg","rhabdoviridae",1,"Cnephaeus serotinus-rhabdoviridae"
"Cnephaeus serotinus-lyssavirus rabies","Cnephaeus serotinus","lyssavirus rabies","rhabdoviridae",1,"Cnephaeus serotinus-rhabdoviridae"
"Cnephaeus serotinus-mammalian orthoreovirus","Cnephaeus serotinus","mammalian orthoreovirus","spinareoviridae",1,"Cnephaeus serotinus-spinareoviridae"
"Cnephaeus serotinus-merbecovirus sp.","Cnephaeus serotinus","merbecovirus sp.","coronaviridae",0,"Cnephaeus serotinus-coronaviridae"
"Cnephaeus serotinus-mogiana tick virus","Cnephaeus serotinus","mogiana tick virus","flaviviridae",1,"Cnephaeus serotinus-flaviviridae"
"Cnephaeus serotinus-orthohantavirus hantanense","Cnephaeus serotinus","orthohantavirus hantanense","hantaviridae",1,"Cnephaeus serotinus-hantaviridae"
"Cnephaeus serotinus-orthonairovirus issykkulense","Cnephaeus serotinus","orthonairovirus issykkulense","nairoviridae",0,"Cnephaeus serotinus-nairoviridae"
"Cnephaeus serotinus-rhabdovirus 27676","Cnephaeus serotinus","rhabdovirus 27676","rhabdoviridae",0,"Cnephaeus serotinus-rhabdoviridae"
"Coleura afra-bat astrovirus","Coleura afra","bat astrovirus","astroviridae",0,"Coleura afra-astroviridae"
"Coleura afra-bat coronavirus","Coleura afra","bat coronavirus","coronaviridae",0,"Coleura afra-coronaviridae"
"Coleura afra-bat hepatovirus","Coleura afra","bat hepatovirus","picornaviridae",0,"Coleura afra-picornaviridae"
"Coleura afra-bat mastadenovirus","Coleura afra","bat mastadenovirus","adenoviridae",0,"Coleura afra-adenoviridae"
"Coleura afra-bat orthoparamyxovirinae sp.","Coleura afra","bat orthoparamyxovirinae sp.","paramyxoviridae",0,"Coleura afra-paramyxoviridae"
"Coleura afra-coleura bat astrovirus","Coleura afra","coleura bat astrovirus","astroviridae",0,"Coleura afra-astroviridae"
"Coleura afra-coleura bat calicivirus","Coleura afra","coleura bat calicivirus","caliciviridae",0,"Coleura afra-caliciviridae"
"Coleura afra-coleura bat circovirus","Coleura afra","coleura bat circovirus","circoviridae",0,"Coleura afra-circoviridae"
"Coleura afra-coleura bat papillomavirus","Coleura afra","coleura bat papillomavirus","papillomaviridae",0,"Coleura afra-papillomaviridae"
"Coleura afra-coleura bat paramyxovirus","Coleura afra","coleura bat paramyxovirus","paramyxoviridae",0,"Coleura afra-paramyxoviridae"
"Coleura afra-coleura bat parvovirus","Coleura afra","coleura bat parvovirus","parvoviridae",0,"Coleura afra-parvoviridae"
"Coleura afra-coleura bat rhabdovirus","Coleura afra","coleura bat rhabdovirus","rhabdoviridae",0,"Coleura afra-rhabdoviridae"
"Coleura afra-mamastrovirus sp.","Coleura afra","mamastrovirus sp.","astroviridae",1,"Coleura afra-astroviridae"
"Coleura afra-orthohepadnavirus rotundifolii","Coleura afra","orthohepadnavirus rotundifolii","hepadnaviridae",0,"Coleura afra-hepadnaviridae"
"Coleura afra-pegivirus pteropi","Coleura afra","pegivirus pteropi","flaviviridae",0,"Coleura afra-flaviviridae"
"Coleura kibomalandy-jeilongvirus murinae","Coleura kibomalandy","jeilongvirus murinae","paramyxoviridae",0,"Coleura kibomalandy-paramyxoviridae"
"Corynorhinus townsendii-lyssavirus rabies","Corynorhinus townsendii","lyssavirus rabies","rhabdoviridae",1,"Corynorhinus townsendii-rhabdoviridae"
"Cynomops abrasus-lyssavirus rabies","Cynomops abrasus","lyssavirus rabies","rhabdoviridae",1,"Cynomops abrasus-rhabdoviridae"
"Cynomops planirostris-jeilongvirus murinae","Cynomops planirostris","jeilongvirus murinae","paramyxoviridae",0,"Cynomops planirostris-paramyxoviridae"
"Cynopterus brachyotis-bat betacoronavirus","Cynopterus brachyotis","bat betacoronavirus","coronaviridae",0,"Cynopterus brachyotis-coronaviridae"
"Cynopterus brachyotis-bat coronavirus","Cynopterus brachyotis","bat coronavirus","coronaviridae",0,"Cynopterus brachyotis-coronaviridae"
"Cynopterus brachyotis-cynopterus bat coronavirus","Cynopterus brachyotis","cynopterus bat coronavirus","coronaviridae",0,"Cynopterus brachyotis-coronaviridae"
"Cynopterus brachyotis-henipavirus nipahense","Cynopterus brachyotis","henipavirus nipahense","paramyxoviridae",1,"Cynopterus brachyotis-paramyxoviridae"
"Cynopterus brachyotis-henipavirus sp.","Cynopterus brachyotis","henipavirus sp.","paramyxoviridae",1,"Cynopterus brachyotis-paramyxoviridae"
"Cynopterus brachyotis-lyssavirus rabies","Cynopterus brachyotis","lyssavirus rabies","rhabdoviridae",1,"Cynopterus brachyotis-rhabdoviridae"
"Cynopterus brachyotis-orthoflavivirus careyense","Cynopterus brachyotis","orthoflavivirus careyense","flaviviridae",0,"Cynopterus brachyotis-flaviviridae"
"Cynopterus brachyotis-orthoflavivirus jugraense","Cynopterus brachyotis","orthoflavivirus jugraense","flaviviridae",0,"Cynopterus brachyotis-flaviviridae"
"Cynopterus brachyotis-orthoflavivirus phnompenhense","Cynopterus brachyotis","orthoflavivirus phnompenhense","flaviviridae",0,"Cynopterus brachyotis-flaviviridae"
"Cynopterus brachyotis-orthonairovirus issykkulense","Cynopterus brachyotis","orthonairovirus issykkulense","nairoviridae",0,"Cynopterus brachyotis-nairoviridae"
"Cynopterus brachyotis-pararubulavirus sp.","Cynopterus brachyotis","pararubulavirus sp.","paramyxoviridae",0,"Cynopterus brachyotis-paramyxoviridae"
"Cynopterus brachyotis-rhabdoviridae sp.","Cynopterus brachyotis","rhabdoviridae sp.","rhabdoviridae",0,"Cynopterus brachyotis-rhabdoviridae"
"Cynopterus sp.-bat coronavirus","Cynopterus sp.","bat coronavirus","coronaviridae",0,"Cynopterus sp.-coronaviridae"
"Cynopterus sp.-betacoronavirus sp.","Cynopterus sp.","betacoronavirus sp.","coronaviridae",0,"Cynopterus sp.-coronaviridae"
"Cynopterus sp.-cynopterus bat coronavirus","Cynopterus sp.","cynopterus bat coronavirus","coronaviridae",0,"Cynopterus sp.-coronaviridae"
"Cynopterus sphinx-bat betacoronavirus","Cynopterus sphinx","bat betacoronavirus","coronaviridae",0,"Cynopterus sphinx-coronaviridae"
"Cynopterus sphinx-bat coronavirus","Cynopterus sphinx","bat coronavirus","coronaviridae",0,"Cynopterus sphinx-coronaviridae"
"Cynopterus sphinx-betacoronavirus sp.","Cynopterus sphinx","betacoronavirus sp.","coronaviridae",0,"Cynopterus sphinx-coronaviridae"
"Cynopterus sphinx-betacoronavirus tylonycteridis","Cynopterus sphinx","betacoronavirus tylonycteridis","coronaviridae",0,"Cynopterus sphinx-coronaviridae"
"Cynopterus sphinx-botourmiaviridae sp.","Cynopterus sphinx","botourmiaviridae sp.","botourmiaviridae",0,"Cynopterus sphinx-botourmiaviridae"
"Cynopterus sphinx-genomoviridae sp.","Cynopterus sphinx","genomoviridae sp.","genomoviridae",1,"Cynopterus sphinx-genomoviridae"
"Cynopterus sphinx-orthoflavivirus japonicum","Cynopterus sphinx","orthoflavivirus japonicum","flaviviridae",1,"Cynopterus sphinx-flaviviridae"
"Cynopterus sphinx-orthoflavivirus kyasanurense","Cynopterus sphinx","orthoflavivirus kyasanurense","flaviviridae",1,"Cynopterus sphinx-flaviviridae"
"Dermanura phaeotis-alphavirus chikungunya","Dermanura phaeotis","alphavirus chikungunya","togaviridae",1,"Dermanura phaeotis-togaviridae"
"Dermanura phaeotis-orthoflavivirus denguei","Dermanura phaeotis","orthoflavivirus denguei","flaviviridae",1,"Dermanura phaeotis-flaviviridae"
"Dermanura phaeotis-venezuelan equine encephalitis virus","Dermanura phaeotis","venezuelan equine encephalitis virus","togaviridae",1,"Dermanura phaeotis-togaviridae"
"Desmodus rotundus-adenovirus desmodus35011","Desmodus rotundus","adenovirus desmodus35011","adenoviridae",0,"Desmodus rotundus-adenoviridae"
"Desmodus rotundus-adenovirus sp.","Desmodus rotundus","adenovirus sp.","adenoviridae",1,"Desmodus rotundus-adenoviridae"
"Desmodus rotundus-bat alphacoronavirus","Desmodus rotundus","bat alphacoronavirus","coronaviridae",0,"Desmodus rotundus-coronaviridae"
